age,policy_tenure,policy_amount,claim_amount,claim_ratio,past_claims,incident_hour,days_to_report,witness_present,police_report,linked_claims,is_fraud
79,14,100000,4678.57,0.05,0,4,0.1,1,1,0,0
75,10,10000,24265.15,2.43,0,12,1.9,1,1,0,0
37,27,25000,2880.15,0.12,2,0,2.1,1,0,0,0
19,14,25000,9939.61,0.4,1,7,3.7,0,1,0,0
75,4,200000,12691.0,0.06,0,4,1.7,1,1,0,0
56,17,200000,7489.58,0.04,0,22,2.7,1,0,0,0
65,20,200000,6379.05,0.03,0,8,0.9,1,0,0,0
64,26,200000,19033.86,0.1,0,19,0.5,1,1,0,0
59,21,25000,21485.2,0.86,0,17,0.3,1,0,0,0
63,7,25000,6994.94,0.28,0,1,1.4,1,0,0,0
69,22,10000,1417.59,0.14,1,11,2.4,1,0,0,0
30,13,25000,23611.24,0.94,1,8,2.7,1,1,0,0
42,17,200000,8687.61,0.04,1,2,7.0,1,0,0,0
70,1,50000,21666.1,0.43,1,11,6.0,1,0,0,0
75,8,25000,2095.5,0.08,0,4,0.6,1,0,0,0
37,21,200000,4635.87,0.02,0,2,5.6,1,0,8,0
76,18,10000,7273.66,0.73,1,21,3.7,1,0,0,0
38,1,100000,37313.16,0.37,3,4,5.8,1,0,0,0
18,14,200000,11306.95,0.06,1,7,2.2,1,1,0,0
18,12,200000,6261.02,0.03,0,16,1.3,1,1,0,0
68,11,100000,8553.29,0.09,1,18,2.6,1,0,7,0
68,10,200000,10304.66,0.05,0,23,1.4,1,0,5,0
30,2,50000,7165.9,0.14,0,22,0.3,0,0,0,0
42,24,50000,7515.3,0.15,0,17,0.4,0,0,0,0
39,29,10000,947.8,0.09,1,12,0.2,1,0,0,0
65,11,25000,13533.74,0.54,1,2,8.6,1,1,0,0
40,28,25000,18984.95,0.76,1,14,0.2,1,0,0,0
72,25,25000,3017.14,0.12,0,16,0.2,1,0,0,0
21,25,10000,3381.33,0.34,0,1,2.7,1,0,0,0
69,6,25000,8076.42,0.32,0,12,1.9,1,0,0,0
65,23,50000,9642.8,0.19,1,21,1.3,1,1,0,0
25,11,200000,20087.88,0.1,1,21,1.1,1,0,0,0
31,26,200000,17400.46,0.09,0,2,0.8,0,0,8,0
37,2,200000,8191.06,0.04,0,8,1.3,1,1,0,0
79,5,25000,11744.57,0.47,1,2,2.7,1,1,0,0
54,9,50000,4429.38,0.09,0,4,2.2,1,0,0,0
35,25,50000,16447.43,0.33,0,0,0.9,1,0,0,0
68,8,50000,73751.05,1.48,1,19,4.2,1,1,0,0
55,29,200000,18589.2,0.09,0,21,2.9,1,0,0,0
53,15,100000,3442.37,0.03,0,7,1.3,1,1,0,0
68,19,25000,3737.64,0.15,0,9,1.8,1,0,8,0
42,18,100000,2334.02,0.02,0,11,5.0,1,0,0,0
45,17,10000,47834.78,3.99,2,13,18.4,1,0,6,1
68,23,200000,4859.95,0.02,0,20,0.5,1,0,0,0
42,20,25000,1710.0,0.07,1,11,0.3,0,0,0,0
50,24,50000,500.38,0.01,1,20,0.4,1,0,0,0
78,28,10000,3391.87,0.34,0,23,0.9,1,0,0,0
57,16,10000,1616.53,0.16,1,1,1.2,1,0,0,0
25,1,50000,1983.24,0.04,1,22,0.3,1,0,0,0
20,23,50000,3722.62,0.07,0,7,0.8,1,1,0,0
51,8,50000,6149.9,0.12,0,17,2.0,1,1,0,0
53,19,25000,2814.3,0.11,2,9,1.0,1,0,0,0
47,6,200000,10006.77,0.05,1,9,1.3,1,1,0,0
34,19,25000,7356.11,0.29,1,21,3.6,1,0,0,0
54,23,25000,31155.5,1.25,0,1,1.0,1,1,0,0
38,22,50000,9198.48,0.18,0,11,2.2,0,1,0,0
79,28,25000,13597.74,0.54,0,3,0.6,1,0,0,0
76,17,50000,3921.6,0.08,1,23,0.3,1,0,0,0
52,19,10000,104828.88,10.48,0,1,0.8,1,0,0,0
59,8,50000,7360.92,0.15,2,5,0.2,1,1,1,0
74,10,100000,23495.61,0.23,1,22,2.4,1,0,0,0
76,15,200000,9132.6,0.05,1,15,14.7,1,0,0,0
70,15,50000,7788.82,0.16,2,9,0.1,1,0,0,0
20,2,25000,16018.52,0.64,1,14,1.5,1,1,0,0
59,13,25000,16537.73,0.66,2,16,0.1,1,0,0,0
27,25,100000,8493.17,0.08,1,2,0.9,1,0,0,0
65,25,10000,6341.88,0.63,0,4,0.6,1,1,0,0
28,24,25000,3350.43,0.13,0,19,0.5,1,0,0,0
63,13,25000,5346.15,0.21,3,22,1.5,1,0,0,0
67,3,10000,7302.34,0.73,0,2,0.5,1,0,0,0
28,2,50000,6761.56,0.14,0,1,0.1,1,1,0,0
41,2,50000,1391.5,0.03,1,5,0.5,1,0,0,0
62,8,200000,9427.34,0.05,1,12,2.6,1,1,0,0
76,27,200000,19202.52,0.1,1,9,1.9,1,0,0,0
74,26,25000,5595.27,0.22,1,3,3.6,1,0,0,0
44,14,10000,3520.79,0.35,0,1,0.0,1,0,0,0
27,7,25000,27145.92,1.09,1,3,2.3,0,0,0,0
34,22,10000,1916.98,0.19,0,23,4.1,1,1,0,0
69,3,200000,38774.73,0.19,1,13,11.7,1,0,0,0
46,23,100000,7587.44,0.08,2,10,4.1,1,0,0,0
33,15,100000,1762.48,0.02,1,5,2.7,1,1,0,0
32,18,50000,4056.57,0.08,1,16,0.3,1,0,0,0
61,29,100000,41694.01,0.42,0,8,0.5,0,0,0,0
41,2,200000,36353.25,0.18,0,20,2.3,1,1,0,0
62,11,100000,3081.04,0.03,0,13,0.0,1,0,0,0
49,8,10000,7725.55,0.77,0,0,0.9,0,0,0,0
55,2,25000,4577.1,0.18,0,16,2.0,1,0,7,0
67,9,25000,14365.47,0.57,1,14,1.3,1,0,0,0
43,22,10000,6490.45,0.65,1,11,1.3,1,0,0,0
25,13,200000,2405.42,0.01,1,17,2.5,1,1,3,0
27,28,200000,6264.31,0.03,2,19,0.8,1,1,0,0
68,17,100000,1527.54,0.02,0,1,1.9,1,1,0,0
68,19,200000,13806.02,0.07,1,2,2.5,1,0,0,0
19,14,200000,2312.75,0.01,0,8,0.2,1,0,0,0
19,20,10000,11781.43,1.18,0,4,0.8,1,0,3,0
31,22,200000,7429.06,0.04,0,8,1.2,1,1,0,0
37,22,50000,18903.06,0.38,0,16,3.3,1,1,0,0
37,29,25000,27515.39,1.1,0,4,0.1,1,0,0,0
22,27,50000,20258.46,0.41,0,14,1.3,1,0,0,0
69,13,25000,11458.52,0.46,1,20,2.6,0,0,2,0
72,1,50000,7856.62,0.16,1,7,0.2,1,1,0,0
31,16,200000,60078.5,0.3,0,1,1.9,1,1,9,0
30,21,50000,6347.67,0.13,0,5,3.3,1,1,0,0
18,11,10000,21249.47,2.12,0,0,1.9,1,0,0,0
66,1,50000,41857.03,0.84,1,2,4.0,1,0,0,0
42,26,25000,22243.77,0.89,0,14,1.3,1,0,0,0
76,12,200000,17308.08,0.09,0,10,0.1,1,0,0,0
21,29,100000,10734.21,0.11,2,7,0.2,1,0,9,0
24,11,25000,4720.54,0.19,0,16,0.6,1,0,0,0
61,1,25000,13541.86,0.54,0,12,2.0,1,0,0,0
27,15,10000,2335.86,0.23,1,18,2.2,1,1,0,0
67,23,10000,4052.52,0.41,2,16,0.0,1,0,0,0
26,10,200000,15787.6,0.08,1,6,9.5,0,0,0,0
49,10,100000,1720.67,0.02,0,0,1.0,1,0,0,0
66,13,100000,4351.09,0.04,0,5,2.1,1,0,0,0
19,6,25000,16340.03,0.65,0,2,1.2,1,0,0,0
30,5,10000,5843.96,0.58,0,22,0.0,1,1,0,0
40,13,200000,2465.72,0.01,1,0,1.5,1,0,0,0
70,1,100000,2777.78,0.03,0,20,5.5,1,0,0,0
43,23,50000,3328.42,0.07,1,4,0.5,1,0,0,0
47,3,50000,4154.34,0.08,0,20,0.3,1,1,0,0
42,10,200000,21851.88,0.11,2,13,2.9,0,0,0,0
30,25,200000,8575.37,0.04,1,12,1.4,1,0,0,0
60,29,100000,13762.36,0.14,0,18,3.0,1,0,8,0
26,15,10000,4387.86,0.44,1,3,11.4,1,0,0,0
53,20,25000,5988.11,0.24,0,19,2.1,1,0,0,0
54,7,200000,7864.46,0.04,0,21,0.6,1,0,0,0
30,1,25000,6806.86,0.27,1,4,0.1,1,0,0,0
69,21,200000,2457.6,0.01,0,17,3.3,1,1,0,0
30,10,10000,7784.67,0.78,2,15,0.7,1,0,0,0
28,28,50000,1791.09,0.04,1,12,0.2,1,0,0,0
74,8,10000,6150.4,0.62,0,23,0.0,1,1,0,0
53,14,50000,2844.35,0.06,0,4,2.2,1,0,0,0
45,16,10000,13858.48,1.39,2,3,0.6,0,1,0,0
27,18,100000,2949.54,0.03,0,15,1.9,0,0,0,0
72,18,50000,7576.57,0.15,0,17,0.6,1,0,0,0
73,17,25000,10983.24,0.44,2,12,1.2,1,1,0,0
49,12,50000,10571.3,0.21,0,12,0.2,1,0,3,0
41,23,50000,18095.99,0.36,1,22,0.2,1,1,0,0
59,8,10000,18999.48,1.9,2,2,4.2,1,0,0,0
56,14,25000,26812.71,1.07,0,21,2.9,0,1,0,0
70,2,50000,4403.77,0.09,2,18,0.3,1,0,0,0
52,22,200000,5344.41,0.03,0,6,1.4,1,0,0,0
21,20,25000,2487.96,0.1,0,18,0.0,1,0,0,0
62,24,25000,20906.72,0.84,0,15,0.3,1,0,0,0
76,17,50000,16027.07,0.32,1,0,2.0,1,0,0,0
31,15,10000,11569.95,1.16,0,10,3.6,1,0,0,0
36,21,25000,8507.26,0.34,2,16,1.2,1,0,0,0
56,7,10000,6159.63,0.62,1,20,0.7,0,0,0,0
45,23,25000,2983.01,0.12,0,21,1.2,1,0,0,0
60,24,25000,1155.3,0.05,0,6,4.6,0,0,7,0
59,21,10000,17742.51,1.77,0,20,0.3,1,0,0,0
42,19,100000,3610.42,0.04,0,3,0.6,1,0,0,0
78,29,25000,5911.97,0.24,0,6,1.6,0,0,0,0
22,21,10000,5175.13,0.52,0,6,0.7,1,0,0,0
68,3,200000,60476.45,0.3,0,3,2.8,0,0,0,0
45,20,200000,11130.81,0.06,1,23,0.8,1,0,0,0
69,7,50000,7848.53,0.16,0,18,6.7,1,0,0,0
58,28,200000,23147.78,0.12,0,13,1.5,1,0,0,0
20,16,50000,2037.45,0.04,0,7,0.3,1,0,0,0
65,28,100000,3431.18,0.03,1,20,2.6,1,1,7,0
22,27,10000,25396.97,2.54,0,19,0.5,1,1,0,0
69,9,50000,10686.21,0.21,0,23,3.4,1,0,0,0
73,28,10000,16850.58,1.69,0,19,0.9,1,1,0,0
39,16,100000,12133.56,0.12,1,15,0.8,1,0,0,0
37,9,50000,7909.38,0.16,1,5,0.5,0,0,0,0
53,14,10000,15286.44,1.53,0,0,2.2,1,0,0,0
31,6,50000,24580.28,0.49,0,13,1.1,0,1,7,0
65,22,50000,13917.04,0.28,2,8,2.0,1,0,0,0
55,24,100000,19628.76,0.2,0,8,1.7,1,1,0,0
76,9,10000,12435.53,1.24,0,8,0.4,0,0,0,0
52,12,25000,19913.15,0.8,0,20,0.6,1,0,0,0
78,9,50000,15572.83,0.31,0,11,1.1,1,0,0,0
39,29,50000,119078.04,2.38,0,18,2.3,0,0,0,0
39,3,25000,11535.76,0.46,0,5,4.4,0,0,0,0
25,27,25000,7944.34,0.32,1,16,0.4,1,0,0,0
78,13,10000,5947.88,0.59,1,9,0.1,1,1,0,0
41,17,50000,3819.38,0.08,0,8,1.4,1,1,0,0
62,14,100000,14460.53,0.14,1,15,3.5,1,1,0,0
63,27,200000,11478.97,0.06,1,19,0.6,1,1,0,0
36,5,100000,6599.75,0.07,0,8,2.2,1,0,0,0
31,10,10000,19108.4,1.91,1,19,0.3,1,0,0,0
19,8,100000,7125.69,0.07,0,4,3.3,1,0,0,0
45,6,50000,1234.17,0.02,0,2,0.6,1,1,0,0
49,2,100000,36170.79,0.36,0,10,0.0,1,0,0,0
56,24,100000,12800.38,0.13,0,3,4.4,1,0,0,0
35,28,50000,28959.12,0.58,0,16,3.8,1,1,0,0
18,6,10000,4923.29,0.49,0,4,0.1,1,1,0,0
63,27,50000,6255.42,0.13,0,4,0.2,1,0,0,0
35,4,10000,40080.58,4.01,0,14,1.0,1,0,0,0
58,5,25000,4835.59,0.19,1,1,2.5,0,0,0,0
61,21,100000,4119.53,0.04,0,23,0.3,1,0,0,0
77,3,10000,6702.24,0.67,1,4,2.5,1,0,0,0
28,2,100000,34203.17,0.34,0,21,1.6,0,0,0,0
29,26,50000,11814.71,0.24,0,5,0.7,1,0,0,0
32,23,10000,7869.4,0.79,0,16,4.5,1,0,0,0
21,15,50000,6651.93,0.13,1,16,4.5,0,1,0,0
64,13,25000,6965.51,0.28,0,21,4.1,1,0,0,0
19,12,50000,21017.8,0.42,0,6,2.7,1,1,0,0
25,8,10000,13535.69,1.35,2,7,1.3,0,0,0,0
28,6,50000,24264.11,0.49,1,18,4.1,1,0,0,0
33,28,25000,53126.71,2.13,0,12,0.7,1,0,0,0
73,14,50000,8600.31,0.17,1,20,1.9,1,0,0,0
72,17,25000,5756.66,0.23,0,7,0.1,1,0,0,0
70,20,100000,11997.05,0.12,0,22,0.7,0,0,0,0
66,12,10000,4870.91,0.49,0,17,1.8,1,0,0,0
22,6,200000,9748.81,0.05,1,17,5.7,1,0,3,0
34,5,25000,2827.18,0.11,0,23,0.0,0,1,0,0
41,1,10000,12060.63,1.21,0,19,2.0,1,0,0,0
45,7,50000,9487.69,0.19,0,17,2.9,0,1,0,0
30,5,25000,15096.33,0.6,0,23,0.5,1,0,0,0
25,24,25000,2594.55,0.1,2,7,0.4,1,0,0,0
66,25,25000,3210.5,0.13,1,5,3.6,1,1,0,0
64,3,100000,8967.45,0.09,0,23,1.2,1,0,0,0
72,20,10000,12562.55,1.26,0,20,2.9,1,0,0,0
42,21,25000,8263.61,0.33,0,11,1.7,1,0,0,0
26,19,10000,1715.78,0.17,0,3,0.1,1,0,0,0
77,15,25000,17835.81,0.71,0,7,0.5,1,0,0,0
39,28,50000,17471.79,0.35,2,18,8.0,1,1,0,0
60,11,100000,34470.58,0.34,0,21,1.5,0,0,0,0
22,18,10000,2726.9,0.27,1,14,1.4,1,0,0,0
79,22,25000,6933.91,0.28,0,2,4.0,1,1,0,0
65,17,25000,5275.11,0.21,1,2,10.5,1,1,0,0
54,11,50000,14596.74,0.29,0,5,0.0,0,1,0,0
51,29,50000,12405.4,0.25,1,7,2.5,1,0,0,0
37,27,200000,8259.73,0.04,0,8,0.0,1,1,0,0
38,11,100000,8606.92,0.09,1,2,0.0,1,0,2,0
18,19,200000,2157.55,0.01,0,2,0.2,0,0,0,0
31,26,200000,12166.94,0.06,0,3,0.5,0,1,0,0
76,10,10000,1669.68,0.17,0,0,0.3,1,0,0,0
73,11,50000,20460.35,0.41,0,6,4.7,1,0,0,0
59,23,25000,5046.39,0.2,0,7,0.7,1,0,0,0
21,27,50000,599.31,0.01,2,1,2.9,1,0,0,0
70,23,200000,9886.72,0.05,0,20,0.0,1,0,0,0
57,10,200000,2893.05,0.01,0,14,6.8,1,0,0,0
30,5,25000,3831.33,0.15,2,18,0.3,1,1,0,0
73,16,200000,5690.22,0.03,0,9,0.0,1,0,0,0
39,10,100000,2869.32,0.03,1,20,0.2,1,0,0,0
41,9,50000,6158.32,0.12,0,16,3.3,0,0,0,0
70,20,10000,10100.92,1.01,1,22,1.4,1,0,0,0
35,4,50000,1776.01,0.04,1,0,0.1,1,1,0,0
65,13,50000,5670.15,0.11,1,10,3.3,1,0,0,0
68,22,50000,2110.15,0.04,0,0,0.0,1,0,0,0
50,6,100000,16027.47,0.16,0,21,3.1,1,0,0,0
76,5,100000,4633.21,0.05,2,19,0.8,1,1,0,0
27,29,25000,11385.08,0.46,0,8,0.4,1,0,0,0
76,7,25000,1411.7,0.06,0,9,6.9,1,0,0,0
37,6,100000,7129.23,0.07,0,19,2.1,1,0,9,0
49,1,10000,1559.63,0.16,0,3,0.2,1,0,0,0
65,19,100000,9599.27,0.1,1,0,1.0,1,0,4,0
62,9,10000,44339.55,4.43,0,19,0.2,1,1,0,0
26,27,50000,7992.7,0.16,0,16,2.0,1,1,0,0
70,17,100000,4029.49,0.04,0,7,1.2,1,0,0,0
47,18,25000,3393.04,0.14,1,3,0.7,1,0,0,0
73,23,50000,5466.48,0.11,0,10,0.6,1,1,0,0
76,24,200000,35235.13,0.18,1,5,1.4,1,0,0,0
51,18,50000,2227.17,0.04,0,6,1.4,1,0,0,0
55,14,10000,12420.42,1.24,1,4,0.4,1,1,0,0
36,20,200000,52554.99,0.26,0,19,3.5,1,1,0,0
59,14,25000,1112.47,0.04,2,8,1.6,1,0,0,0
40,10,50000,6549.81,0.13,0,14,1.1,1,0,0,0
34,13,200000,7805.83,0.04,1,17,0.4,0,0,0,0
68,10,25000,24807.01,0.99,0,9,0.7,0,0,0,0
32,22,50000,50712.24,1.01,0,14,1.1,1,0,0,0
46,1,50000,75833.82,1.52,0,14,2.4,1,1,0,0
43,24,200000,32353.34,0.16,0,16,0.5,1,0,0,0
60,17,200000,20689.7,0.1,0,15,2.6,1,1,0,0
33,22,100000,6481.13,0.06,0,8,1.2,0,1,0,0
28,3,10000,6150.56,0.62,0,3,0.1,1,0,0,0
71,13,200000,20758.19,0.1,0,2,0.1,1,0,0,0
76,4,50000,29419.03,0.59,0,10,2.2,1,0,0,0
73,29,10000,21332.92,2.13,0,8,1.6,1,0,0,0
34,20,50000,32970.55,0.66,0,8,4.4,1,1,0,0
38,3,100000,16283.43,0.16,1,9,1.3,1,0,0,0
74,27,50000,20797.09,0.42,0,1,1.0,1,0,0,0
74,6,50000,19157.62,0.38,1,12,0.4,1,0,0,0
27,22,100000,11497.56,0.11,2,0,0.5,1,0,0,0
32,3,25000,7880.48,0.32,1,13,1.4,1,0,0,0
19,18,10000,3994.63,0.4,0,19,0.8,1,1,0,0
44,13,200000,9185.35,0.05,0,2,4.4,1,0,0,0
65,28,25000,2887.84,0.12,0,10,1.7,1,1,0,0
21,25,50000,24670.43,0.49,0,9,1.0,1,0,2,0
45,23,50000,653.84,0.01,0,21,1.2,1,0,2,0
72,27,50000,2084.34,0.04,0,4,2.3,1,0,0,0
18,19,100000,2130.24,0.02,0,17,1.2,1,0,0,0
72,1,100000,5490.85,0.05,0,19,4.8,1,1,0,0
54,2,25000,9424.9,0.38,0,7,2.4,0,0,4,0
72,20,50000,17418.3,0.35,0,12,4.3,0,1,0,0
52,9,200000,10437.55,0.05,1,20,0.8,0,1,0,0
47,10,50000,18404.38,0.37,1,1,1.3,1,0,0,0
37,5,10000,7617.75,0.76,0,7,0.8,1,0,0,0
45,7,200000,13087.88,0.07,0,3,0.4,1,1,0,0
73,24,25000,13811.07,0.55,1,5,1.4,0,0,0,0
34,23,25000,18951.44,0.76,1,23,1.2,1,0,0,0
34,8,200000,2479.07,0.01,0,15,1.4,1,1,0,0
65,3,100000,4917.8,0.05,0,7,4.4,1,0,0,0
43,28,100000,3366.84,0.03,0,23,0.4,1,0,0,0
39,16,10000,21204.24,2.12,1,9,4.5,1,1,0,0
79,5,10000,9278.01,0.93,0,21,0.0,1,1,0,0
34,13,10000,1527.77,0.15,0,12,0.7,1,1,8,0
76,8,50000,17020.14,0.34,1,16,15.4,1,0,0,0
60,13,200000,22000.42,0.11,0,16,0.5,1,0,0,0
40,21,10000,3724.21,0.37,0,11,3.0,1,0,1,0
57,11,50000,16209.04,0.32,1,16,0.5,1,0,6,0
67,22,200000,8938.0,0.04,1,10,0.1,1,0,1,0
36,6,100000,29610.13,0.3,3,16,0.8,1,0,0,0
72,4,50000,2728.97,0.05,0,0,0.8,1,1,0,0
67,16,100000,2254.38,0.02,0,14,2.5,1,0,0,0
20,2,25000,10554.4,0.42,0,18,3.4,1,0,0,0
58,12,25000,16734.03,0.67,2,11,0.7,1,0,0,0
47,2,200000,27531.42,0.14,0,0,0.7,1,0,0,0
42,14,10000,6255.06,0.63,0,5,0.1,1,0,0,0
45,21,50000,32615.58,0.65,1,10,3.0,0,0,0,0
62,27,200000,1044.06,0.01,0,15,2.7,0,0,0,0
56,12,50000,11999.23,0.24,0,8,7.0,1,0,0,0
42,20,200000,39755.49,0.2,1,9,4.6,1,0,0,0
25,16,10000,2757.11,0.28,0,16,1.3,1,0,0,0
32,29,50000,4286.95,0.09,1,23,0.0,1,0,0,0
43,2,25000,2572.61,0.1,2,13,0.1,1,0,0,0
64,11,10000,5928.81,0.59,1,2,3.6,1,0,0,0
67,11,100000,45932.88,0.46,1,14,0.4,0,1,0,0
43,13,200000,3440.0,0.02,1,7,6.9,1,0,0,0
73,7,25000,2566.69,0.1,0,5,0.1,1,0,0,0
40,13,25000,3029.24,0.12,0,11,2.9,1,0,0,0
49,26,25000,1315.56,0.05,0,2,0.0,1,1,0,0
36,9,50000,17321.65,0.35,1,15,0.6,1,0,0,0
31,23,10000,3091.84,0.31,0,14,0.7,1,0,0,0
73,13,10000,4341.91,0.43,1,13,0.8,1,0,0,0
51,16,50000,13242.78,0.26,1,21,0.1,1,0,0,0
33,26,100000,5664.48,0.06,0,14,2.4,1,0,0,0
76,26,100000,27180.19,0.27,1,23,3.4,1,0,0,0
64,29,25000,6191.81,0.25,1,4,0.8,1,0,0,0
38,10,50000,8954.62,0.18,1,1,0.3,0,1,0,0
40,19,50000,19259.37,0.39,1,21,4.5,1,0,0,0
69,6,10000,9351.98,0.94,0,4,2.1,1,0,0,0
51,12,10000,2621.17,0.26,0,6,7.6,1,0,0,0
48,29,200000,5614.86,0.03,0,1,2.2,1,0,0,0
41,11,200000,36234.85,0.18,1,17,0.1,1,1,0,0
70,28,25000,10759.99,0.43,0,10,0.2,1,0,0,0
66,27,10000,98402.14,9.84,1,19,0.5,1,0,0,0
71,9,200000,2528.01,0.01,0,17,0.2,1,0,0,0
57,12,25000,14899.73,0.6,0,1,0.1,1,0,0,0
71,24,10000,9746.96,0.97,0,23,0.1,0,0,0,0
29,26,100000,20700.55,0.21,2,3,3.1,1,0,3,0
49,23,50000,6482.36,0.13,0,6,0.1,1,1,0,0
24,29,100000,13955.21,0.14,1,11,0.8,1,0,0,0
32,14,200000,3241.29,0.02,0,21,1.6,1,1,0,0
46,9,10000,31427.63,3.14,0,1,9.0,1,0,0,0
40,12,50000,23599.0,0.47,1,0,1.3,1,0,0,0
46,8,10000,8876.73,0.89,1,11,1.7,1,1,0,0
55,19,50000,5117.65,0.1,1,18,1.6,1,0,0,0
45,13,50000,1424.94,0.03,2,22,2.0,1,0,0,0
63,6,10000,18700.93,1.87,1,21,0.9,1,0,0,0
55,26,50000,10288.99,0.21,1,20,5.2,1,1,0,0
71,20,10000,2464.64,0.25,0,8,3.1,1,0,0,0
71,25,10000,24037.17,2.4,0,13,2.1,1,0,0,0
62,29,10000,1347.64,0.13,1,19,0.1,1,1,0,0
66,18,25000,2089.23,0.08,0,15,0.2,1,0,0,0
51,28,100000,70619.11,0.71,1,23,1.6,0,0,2,0
77,28,50000,26650.11,0.53,0,3,0.2,1,1,0,0
47,4,50000,2014.35,0.04,0,0,4.2,1,0,0,0
41,8,200000,2948.22,0.01,0,4,2.2,1,1,7,0
71,9,200000,4126.01,0.02,0,19,1.0,0,0,6,0
75,5,50000,5414.98,0.11,0,10,0.4,1,0,0,0
61,2,25000,12920.17,0.52,0,15,1.6,1,0,0,0
75,9,200000,31139.29,0.16,0,9,1.5,1,0,0,0
76,29,50000,3432.25,0.07,0,11,3.9,1,1,0,0
37,26,50000,18279.73,0.37,0,12,1.7,1,1,0,0
70,13,25000,9655.54,0.39,1,10,3.7,1,0,0,0
77,17,10000,2128.72,0.21,0,22,2.3,1,0,2,0
77,27,100000,2661.06,0.03,0,7,0.0,1,0,0,0
43,3,200000,47579.99,0.24,0,19,1.9,1,0,0,0
29,15,25000,35117.53,1.4,1,13,3.6,1,0,0,0
39,23,50000,28865.91,0.58,0,22,2.6,1,0,0,0
54,17,25000,4672.18,0.19,1,21,0.3,1,0,0,0
72,12,200000,64710.4,0.32,0,20,1.1,1,0,0,0
40,11,200000,36222.35,0.18,0,6,0.8,1,0,0,0
59,19,100000,51932.62,0.52,1,20,1.1,0,0,0,0
40,17,200000,9539.63,0.05,0,17,1.4,1,1,0,0
19,14,200000,5600.7,0.03,0,23,2.0,1,0,0,0
53,1,10000,10189.11,1.02,1,18,1.1,1,1,0,0
50,19,100000,23725.79,0.24,1,12,1.1,1,0,0,0
27,10,100000,6283.94,0.06,0,14,2.1,1,1,3,0
69,25,200000,8445.33,0.04,0,17,2.3,1,1,0,0
25,9,10000,5470.9,0.55,0,23,2.9,1,0,0,0
56,8,200000,2073.7,0.01,0,18,2.9,1,1,0,0
62,17,200000,55614.96,0.28,1,2,0.5,1,0,0,0
36,28,10000,2841.76,0.28,0,11,2.9,0,0,0,0
66,19,50000,3601.12,0.07,2,12,3.9,1,0,0,0
23,23,10000,2659.66,0.27,0,13,0.5,1,0,0,0
55,11,50000,7123.12,0.14,1,7,5.8,1,1,0,0
46,1,100000,11391.86,0.11,1,12,3.9,1,0,0,0
58,23,25000,2111.92,0.08,1,16,3.5,1,1,0,0
31,20,200000,10012.61,0.05,1,23,1.9,1,0,0,0
32,27,50000,21135.71,0.42,0,7,1.7,1,1,0,0
79,2,10000,11406.12,1.14,0,17,1.2,0,0,0,0
25,14,25000,10044.96,0.4,0,19,1.1,1,1,0,0
60,17,25000,4620.31,0.18,0,3,2.2,1,0,0,0
37,5,50000,1980.08,0.04,0,3,3.7,1,0,0,0
50,14,10000,5384.95,0.54,0,0,0.7,1,0,0,0
45,1,100000,17372.95,0.17,0,16,0.2,1,1,0,0
59,29,25000,3587.5,0.14,1,1,0.1,1,0,0,0
39,6,100000,10811.99,0.11,0,14,6.2,0,0,6,0
