transaction_id,amount,hour,day_of_week,transaction_frequency,avg_transaction_amount,account_age_days,device_change,location_change,transactions_last_hour,transactions_last_day,merchant_risk_score,new_merchant,failed_attempts,is_fraud
UPI_LEGIT_004609,140.74,16,1,3,745.08,3078,1,0,0,2,0.048,0,0,0
UPI_LEGIT_013283,300.63,22,5,4,219.04,1716,0,0,0,1,0.126,0,0,0
UPI_LEGIT_012472,168.51,18,1,4,161.65,2051,0,0,0,1,0.282,0,0,0
UPI_LEGIT_011739,45.27,11,4,2,315.38,1387,0,0,1,1,0.098,1,0,0
UPI_LEGIT_006661,128.37,12,4,1,123.57,3579,0,0,0,1,0.008,0,0,0
UPI_LEGIT_013939,63.73,17,0,4,448.6,3368,0,0,1,1,0.001,0,0,0
UPI_LEGIT_007359,149.12,13,5,1,35.57,3333,0,0,0,4,0.325,0,0,0
UPI_LEGIT_003204,95.76,6,4,3,54.48,2156,0,0,1,0,0.118,0,1,0
UPI_LEGIT_011752,239.44,17,3,2,72.24,1336,0,0,1,2,0.163,0,0,0
UPI_LEGIT_006126,119.02,16,3,0,32.7,2488,0,0,1,0,0.136,0,0,0
UPI_LEGIT_014629,96.94,17,4,1,189.22,2670,0,0,0,3,0.222,0,0,0
UPI_LEGIT_002678,96.72,15,6,2,494.17,2667,0,0,0,3,0.149,0,0,0
UPI_LEGIT_003708,637.45,17,5,3,449.51,3484,0,0,0,2,0.014,0,0,0
UPI_LEGIT_009987,1683.07,22,5,1,122.62,761,0,0,1,1,0.22,0,1,0
UPI_LEGIT_002805,208.88,17,0,2,286.63,1100,0,0,1,2,0.324,1,0,0
UPI_FRAUD_001453,10935.05,14,1,7,1007.39,1844,0,1,5,11,0.568,1,2,1
UPI_LEGIT_014421,659.77,17,2,0,28.71,3486,0,0,0,1,0.348,0,0,0
UPI_LEGIT_009999,9.19,8,6,3,152.49,2690,0,0,2,0,0.081,0,0,0
UPI_LEGIT_002319,2088.52,16,3,2,48.38,1710,0,0,1,2,0.011,1,0,0
UPI_LEGIT_013882,5.58,7,3,3,186.94,621,0,0,1,1,0.396,0,0,0
UPI_LEGIT_012608,8.03,14,2,2,203.93,774,0,0,1,2,0.032,0,0,0
UPI_LEGIT_007333,67.53,14,2,2,101.75,609,0,0,0,2,0.15,1,0,0
UPI_LEGIT_003651,36.17,13,4,3,68.71,3566,0,0,2,2,0.382,0,0,0
UPI_LEGIT_002288,42.21,8,1,3,207.87,2244,0,0,0,4,0.365,0,1,0
UPI_LEGIT_003623,62.27,21,1,2,263.44,3478,0,0,1,1,0.216,0,0,0
UPI_LEGIT_013618,231.88,15,4,7,211.53,1909,0,0,1,3,0.339,0,1,0
UPI_LEGIT_004878,1763.8,22,0,3,173.27,1992,0,0,1,3,0.117,0,0,0
UPI_FRAUD_001713,22023.78,23,3,7,150.71,349,0,0,5,5,0.621,0,1,1
UPI_LEGIT_014505,438.37,20,2,4,90.74,689,0,0,0,3,0.304,0,0,0
UPI_LEGIT_003589,54.68,10,2,1,455.01,279,0,0,1,0,0.198,0,0,0
UPI_LEGIT_009466,307.68,21,6,3,109.46,2407,0,0,0,2,0.201,1,0,0
UPI_LEGIT_005155,6.79,14,0,6,656.41,2169,0,0,1,3,0.088,0,0,0
UPI_LEGIT_012594,42.41,14,0,3,68.22,2477,0,0,1,2,0.011,0,0,0
UPI_LEGIT_013673,1090.87,12,2,2,126.46,1027,0,0,0,3,0.219,0,0,0
UPI_LEGIT_003669,197.32,20,2,1,84.31,438,0,0,0,2,0.29,1,1,0
UPI_LEGIT_014324,78.81,6,0,4,74.04,2802,0,0,0,0,0.063,0,0,0
UPI_LEGIT_013524,149.67,10,0,7,126.54,3299,0,0,2,1,0.262,1,0,0
UPI_LEGIT_008384,146.31,19,3,2,26.47,2119,0,0,0,3,0.084,0,1,0
UPI_LEGIT_014210,148.71,6,2,3,346.76,1250,0,0,2,2,0.306,0,0,0
UPI_LEGIT_004387,12.55,9,2,2,82.35,557,0,0,0,2,0.327,0,0,0
UPI_LEGIT_009123,53.19,12,3,4,41.43,1591,0,0,0,2,0.02,0,0,0
UPI_LEGIT_007894,59.52,20,4,2,114.25,1186,0,0,0,6,0.294,1,0,0
UPI_FRAUD_001489,25000.76,15,2,5,120.71,1657,0,0,4,8,0.7,1,3,1
UPI_FRAUD_001606,36424.41,7,1,4,19.37,659,0,0,5,6,0.097,0,1,1
UPI_LEGIT_008594,21725.6,8,1,6,50.47,1631,0,0,1,3,0.073,0,0,0
UPI_LEGIT_008528,33.56,19,0,5,24.81,1052,0,0,1,2,0.221,1,0,0
UPI_FRAUD_001402,19407.18,22,1,6,2.96,2501,0,0,2,13,0.171,0,2,1
UPI_LEGIT_009387,454.91,20,4,3,278.57,1746,0,0,0,0,0.369,1,1,0
UPI_LEGIT_003519,14.97,7,3,4,1429.23,588,0,0,0,4,0.353,0,0,0
UPI_LEGIT_003297,65.71,12,2,2,165.63,1859,0,0,1,2,0.352,0,0,0
UPI_FRAUD_001006,325578.45,2,4,2,76.09,828,1,0,1,0,0.12,0,1,1
UPI_LEGIT_002791,111.11,11,5,3,54.6,1755,0,0,0,3,0.117,0,0,0
UPI_LEGIT_002704,153.12,18,6,2,62.05,1251,0,0,2,2,0.285,0,0,0
UPI_LEGIT_005613,141.28,16,6,4,219.22,1582,0,0,1,2,0.045,1,0,0
UPI_LEGIT_014030,8.03,11,2,3,81.77,910,0,0,0,4,0.324,0,0,0
UPI_LEGIT_005683,430.13,10,5,4,36.29,1839,0,0,0,1,0.15,0,0,0
UPI_LEGIT_012287,20.3,15,0,1,43.29,2170,0,0,0,5,0.226,0,0,0
UPI_LEGIT_005400,237.99,9,3,1,339.04,521,0,0,0,1,0.343,0,0,0
UPI_LEGIT_002357,62.04,12,6,6,376.16,2597,0,0,0,2,0.173,0,0,0
UPI_LEGIT_014680,52.78,8,3,4,1057.12,625,0,0,1,3,0.391,0,0,0
UPI_FRAUD_000290,742171.53,1,4,2,552.28,1043,1,1,0,2,0.668,1,1,1
UPI_LEGIT_012534,273.48,18,3,2,70.45,1618,0,0,0,2,0.355,0,0,0
UPI_LEGIT_005908,4.01,6,4,1,153.12,1421,0,0,0,1,0.307,0,0,0
UPI_LEGIT_013818,1231.5,21,6,3,277.87,213,0,0,1,1,0.152,0,0,0
UPI_LEGIT_006594,989.66,11,0,7,57.08,282,0,0,0,0,0.034,0,0,0
UPI_FRAUD_000088,1890501.45,3,2,2,144.89,800,0,0,2,1,0.744,0,1,1
UPI_LEGIT_012998,597.69,17,3,4,579.3,1240,0,0,1,3,0.278,0,0,0
UPI_FRAUD_002232,391593.37,4,2,2,22.81,37,1,0,1,1,0.57,0,0,1
UPI_LEGIT_008273,2369.48,12,3,3,12.62,2026,0,0,2,4,0.226,0,0,0
UPI_LEGIT_009322,204.39,9,0,6,62.33,650,0,1,0,1,0.114,0,0,0
UPI_LEGIT_007964,1721.44,11,3,1,75.21,1449,0,0,1,2,0.346,1,0,0
UPI_LEGIT_009037,26.23,14,3,6,145.47,1385,0,0,1,0,0.332,0,0,0
UPI_LEGIT_011408,234.13,12,4,3,452.22,2521,0,0,0,2,0.371,0,0,0
UPI_LEGIT_008391,2338.76,19,3,1,78.44,930,0,0,0,4,0.036,0,0,0
UPI_LEGIT_011749,187.07,21,5,9,510.25,1827,0,0,0,2,0.101,0,0,0
UPI_FRAUD_001056,485523.59,3,6,1,10.48,2133,1,0,0,0,0.602,0,1,1
UPI_FRAUD_000903,420330.63,4,6,2,74.78,1684,1,0,0,2,0.33,0,0,1
UPI_LEGIT_014220,52.22,14,2,1,45.76,3082,0,0,0,3,0.088,0,0,0
UPI_LEGIT_013626,256.89,20,3,1,735.26,3431,0,0,0,2,0.013,0,0,0
UPI_FRAUD_002039,565549.93,1,5,2,52.44,75,1,1,0,1,0.765,1,0,1
UPI_FRAUD_001611,62092.62,22,2,9,71.89,127,0,0,1,11,0.653,0,3,1
UPI_LEGIT_014519,62.7,6,0,2,474.27,3505,0,0,0,6,0.262,0,1,0
UPI_FRAUD_000736,1254931.73,13,6,4,94.51,2471,1,0,0,3,0.838,0,0,1
UPI_LEGIT_005963,1566.34,9,1,0,114.98,3492,0,0,1,1,0.297,0,0,0
UPI_LEGIT_011875,175.7,10,4,2,182.87,2555,0,0,1,0,0.38,0,0,0
UPI_LEGIT_007308,50.98,11,4,4,266.04,2859,0,0,2,1,0.08,0,0,0
UPI_LEGIT_009052,265.87,22,1,0,55.71,1035,0,0,3,4,0.268,0,1,0
UPI_LEGIT_006177,60.49,16,0,6,255.05,543,0,0,0,1,0.046,0,0,0
UPI_LEGIT_013555,5.5,11,0,1,25.15,2210,0,0,1,3,0.19,1,0,0
UPI_LEGIT_002864,506.28,15,0,1,1278.25,299,0,0,0,0,0.245,0,0,0
UPI_LEGIT_010056,4982.97,22,0,1,26.07,377,0,0,1,1,0.337,0,0,0
UPI_FRAUD_001418,62333.59,10,1,9,39.79,524,0,1,1,9,0.418,1,6,1
UPI_LEGIT_005914,677.85,9,5,6,88.81,1015,0,0,0,1,0.288,0,0,0
UPI_LEGIT_004148,64.11,14,3,4,226.63,1333,0,0,1,2,0.287,0,0,0
UPI_LEGIT_013109,133.91,12,0,4,69.05,698,0,0,1,1,0.089,0,0,0
UPI_LEGIT_013685,2576.16,21,6,5,84.44,1693,0,0,1,5,0.091,0,0,0
UPI_FRAUD_001010,462140.36,0,3,4,73.24,3330,1,0,0,0,0.476,1,0,1
UPI_LEGIT_008634,90.97,7,6,3,230.86,2943,0,0,2,2,0.13,0,0,0
UPI_LEGIT_007588,105.44,19,0,4,261.0,785,0,0,1,1,0.335,0,0,0
UPI_LEGIT_004189,170.11,9,0,3,63.96,2347,0,0,0,2,0.188,0,0,0
UPI_LEGIT_014953,327.3,10,1,1,61.95,545,0,0,1,6,0.045,0,0,0
UPI_LEGIT_010528,403.31,13,6,6,123.69,497,0,0,0,1,0.09,1,0,0
UPI_LEGIT_009824,754.67,8,3,3,58.32,1020,0,0,0,4,0.367,0,0,0
UPI_LEGIT_005145,126.07,7,5,1,147.34,1659,0,0,0,2,0.385,0,0,0
UPI_LEGIT_008937,220.62,19,2,3,417.37,1829,0,0,0,1,0.267,0,0,0
UPI_LEGIT_009615,64.46,18,2,1,93.1,3019,0,0,0,4,0.332,1,0,0
UPI_LEGIT_008700,33.36,7,4,1,28.49,338,0,0,0,3,0.282,1,0,0
UPI_LEGIT_003800,259.91,10,3,1,499.24,2956,0,0,1,0,0.373,0,0,0
UPI_LEGIT_010381,180.7,12,0,1,149.26,3015,0,0,0,1,0.191,0,0,0
UPI_LEGIT_003745,18.9,14,6,2,71.93,3524,0,0,2,2,0.13,0,0,0
UPI_LEGIT_009073,3507.22,7,1,4,1689.33,1137,0,0,0,0,0.379,0,0,0
UPI_LEGIT_011361,308.21,17,4,5,132.18,1525,0,0,0,2,0.07,1,0,0
UPI_LEGIT_008048,87.71,17,2,2,87.56,1424,0,1,0,2,0.006,0,0,0
UPI_FRAUD_001385,36226.44,10,1,5,52.93,2968,0,1,4,4,0.351,0,2,1
UPI_LEGIT_010182,29.4,14,6,3,163.31,2347,0,0,0,0,0.306,0,0,0
UPI_LEGIT_004872,4857.66,14,5,5,38.62,2959,0,0,1,2,0.383,0,0,0
UPI_FRAUD_000735,762456.3,15,0,2,49.75,917,1,0,0,2,0.758,1,0,1
UPI_LEGIT_005712,36.73,8,0,3,344.06,2033,0,0,0,3,0.143,0,1,0
UPI_LEGIT_005422,87.19,20,1,7,96.2,2528,0,1,3,3,0.19,0,0,0
UPI_LEGIT_004012,230.56,7,4,4,35.31,3639,1,0,1,4,0.139,0,0,0
UPI_LEGIT_002858,31.47,7,5,5,110.02,797,0,0,0,3,0.287,0,0,0
UPI_LEGIT_009896,294.61,6,6,1,95.21,3622,0,0,2,2,0.395,1,0,0
UPI_LEGIT_004536,474.14,21,6,1,33.57,2967,0,0,0,4,0.059,0,0,0
UPI_LEGIT_004580,975.39,15,1,3,1873.62,2129,0,0,1,2,0.299,1,0,0
UPI_LEGIT_007655,158.49,9,6,2,24.31,2743,0,0,1,0,0.176,0,0,0
UPI_LEGIT_005998,1695.92,15,2,3,162.67,3498,0,0,1,0,0.328,0,0,0
UPI_FRAUD_000884,1466333.43,23,5,4,33.6,1623,1,0,1,1,0.929,1,0,1
UPI_LEGIT_009026,369.92,10,6,1,100.23,3037,0,0,1,3,0.08,0,0,0
UPI_LEGIT_003233,147.32,20,1,3,35.1,2068,0,0,0,3,0.34,0,0,0
UPI_LEGIT_005601,112.98,14,0,1,57.52,1014,0,0,1,4,0.381,0,0,0
UPI_LEGIT_002417,306.94,10,6,5,30.51,2519,0,0,0,4,0.316,0,0,0
UPI_LEGIT_005358,320.21,21,3,0,202.76,3034,0,0,0,1,0.281,0,0,0
UPI_LEGIT_011009,227.97,16,5,4,383.74,1236,0,0,1,4,0.169,1,0,0
UPI_LEGIT_004948,166.04,15,1,0,99.33,2323,0,0,0,1,0.151,0,0,0
UPI_LEGIT_005933,1395.37,11,0,1,1556.58,1098,0,0,1,5,0.131,0,0,0
UPI_LEGIT_002919,15.74,20,4,3,124.12,2861,0,0,0,0,0.238,0,0,0
UPI_LEGIT_010838,293.56,7,3,2,75.74,1007,0,0,0,2,0.195,0,0,0
UPI_LEGIT_005598,60.28,14,4,3,54.48,276,0,0,1,2,0.347,0,0,0
UPI_LEGIT_003698,1030.84,14,6,1,42.24,3148,0,0,0,2,0.255,0,0,0
UPI_LEGIT_012167,1465.28,20,4,4,181.62,3172,0,0,1,0,0.38,0,0,0
UPI_LEGIT_009955,66.34,20,4,0,22.99,2274,0,0,0,1,0.184,1,0,0
UPI_LEGIT_014084,180.97,6,3,1,330.38,248,0,0,0,0,0.221,0,0,0
UPI_LEGIT_006880,607.37,21,0,2,171.46,2887,0,0,1,1,0.251,1,0,0
UPI_LEGIT_009158,97.21,11,5,4,514.01,2007,0,0,0,2,0.191,0,0,0
UPI_LEGIT_010216,135.9,13,6,3,45.46,1061,0,0,0,0,0.205,0,0,0
UPI_LEGIT_004401,13.32,6,3,6,72.81,1183,0,0,0,1,0.183,0,0,0
UPI_LEGIT_010804,48.48,6,2,1,42.79,2379,0,0,1,3,0.06,0,0,0
UPI_LEGIT_005931,373.82,13,4,5,190.65,1164,0,0,0,3,0.248,0,0,0
UPI_FRAUD_001522,35971.92,4,6,8,455.95,1384,0,0,3,5,0.189,0,3,1
UPI_LEGIT_011306,392.6,6,5,3,44.39,1735,0,0,0,1,0.352,0,0,0
UPI_LEGIT_002562,4.29,11,6,2,1009.65,536,0,0,0,3,0.318,0,0,0
UPI_FRAUD_002128,888300.16,14,6,5,5.43,21,0,0,0,2,0.893,1,0,1
UPI_FRAUD_001086,121830.44,2,4,3,178.4,138,1,1,3,0,0.589,0,0,1
UPI_FRAUD_001962,914314.41,8,3,5,103.2,1,1,0,0,1,0.798,0,1,1
UPI_LEGIT_005620,414.78,20,3,1,33.03,2339,0,0,0,5,0.078,0,0,0
UPI_LEGIT_014990,161.18,18,1,2,15.03,2399,0,0,1,2,0.153,1,0,0
UPI_LEGIT_012837,568.67,16,2,3,78.2,1546,0,0,0,2,0.009,0,1,0
UPI_LEGIT_003065,200.24,7,5,4,138.25,3378,0,0,0,2,0.154,0,0,0
UPI_LEGIT_012722,70.29,22,1,2,99.27,1767,0,0,0,1,0.147,0,0,0
UPI_LEGIT_013286,418.87,13,1,5,191.04,192,0,0,0,0,0.379,0,0,0
UPI_LEGIT_003615,1197.39,18,0,4,144.8,1948,0,0,2,2,0.377,0,0,0
UPI_LEGIT_011373,3656.99,16,1,4,162.6,1432,0,0,0,3,0.329,0,0,0
UPI_LEGIT_012363,1672.81,13,4,5,57.11,1349,0,0,0,4,0.131,0,0,0
UPI_LEGIT_008290,166.75,18,4,2,110.19,2106,0,0,1,2,0.136,1,0,0
UPI_LEGIT_009068,100.01,15,2,5,60.58,597,0,0,0,2,0.093,0,0,0
UPI_FRAUD_001346,453967.11,1,6,3,70.82,2756,1,0,1,4,0.655,0,0,1
UPI_LEGIT_008769,370.71,12,6,3,118.89,1178,0,0,0,2,0.165,0,0,0
UPI_LEGIT_011193,710.95,20,3,3,110.71,3513,0,0,0,0,0.105,0,0,0
UPI_LEGIT_003570,5.54,10,4,5,86.6,1548,0,0,1,1,0.29,0,0,0
UPI_FRAUD_001121,295387.79,1,2,4,26.69,1334,0,0,1,4,0.485,1,0,1
UPI_FRAUD_001533,91419.46,23,3,9,115.19,2537,0,0,4,11,0.529,0,3,1
UPI_LEGIT_002943,1903.44,22,6,5,34.5,2064,0,0,0,3,0.397,0,0,0
UPI_LEGIT_011828,82.73,12,5,3,115.44,1986,0,0,0,6,0.365,0,0,0
UPI_LEGIT_009360,304.32,10,5,4,131.79,2130,0,0,0,0,0.383,0,0,0
UPI_LEGIT_007012,1860.22,11,5,1,171.89,1406,0,0,0,1,0.16,0,0,0
UPI_LEGIT_006888,10024.73,9,2,2,143.86,2377,0,0,0,1,0.249,0,0,0
UPI_LEGIT_011336,1727.42,9,3,1,230.41,2317,0,0,0,2,0.399,0,0,0
UPI_LEGIT_012464,27.3,20,0,4,127.0,2181,0,0,0,3,0.027,0,0,0
UPI_LEGIT_014942,73.84,12,4,2,71.08,2548,0,0,0,4,0.109,0,1,0
UPI_LEGIT_004245,445.04,6,5,3,133.27,3323,0,0,2,2,0.294,0,0,0
UPI_FRAUD_001632,54957.5,15,3,14,84.27,2207,0,0,6,11,0.572,1,0,1
UPI_LEGIT_004062,33.88,8,5,6,31.73,2092,0,0,0,1,0.054,0,0,0
UPI_LEGIT_009375,21.23,11,1,2,215.51,430,0,0,2,3,0.019,0,0,0
UPI_LEGIT_013009,62.91,17,4,1,75.33,1442,0,0,1,6,0.373,1,0,0
UPI_LEGIT_011887,12.06,18,4,2,107.82,482,0,0,2,3,0.003,0,2,0
UPI_LEGIT_012459,1836.72,22,4,5,55.44,2745,0,0,0,2,0.155,0,0,0
UPI_LEGIT_005767,256.14,22,5,3,226.3,2456,0,0,0,3,0.224,0,0,0
UPI_LEGIT_003014,5.28,6,5,5,174.33,1083,0,0,2,1,0.099,1,0,0
UPI_LEGIT_010471,11.84,16,6,3,28.04,1716,0,0,2,1,0.31,0,0,0
UPI_LEGIT_003728,244.06,9,6,1,136.62,1111,0,0,1,1,0.04,0,0,0
UPI_LEGIT_013317,495.32,16,0,3,120.77,440,0,1,1,2,0.162,0,0,0
UPI_LEGIT_003852,112.42,21,0,4,207.26,379,1,0,1,0,0.177,0,0,0
UPI_LEGIT_006161,168.97,9,1,3,298.5,3561,0,0,1,2,0.227,1,0,0
UPI_FRAUD_000099,565603.44,0,6,3,18.98,2172,0,0,0,3,0.997,1,0,1
UPI_LEGIT_012061,36.94,16,0,2,149.23,1524,0,0,0,3,0.15,0,0,0
UPI_LEGIT_008122,196.87,12,3,1,133.89,2192,0,0,0,3,0.267,1,0,0
UPI_LEGIT_014315,8388.26,8,4,3,417.73,1518,0,0,0,1,0.165,0,0,0
UPI_LEGIT_011820,342.01,7,4,2,83.01,677,0,1,0,4,0.364,0,1,0
UPI_LEGIT_008373,1467.32,7,4,5,416.15,2112,0,0,0,3,0.043,0,0,0
UPI_FRAUD_001035,179640.92,3,2,2,454.18,1224,0,0,1,0,0.362,0,1,1
