person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,dti_ratio,delinquencies_2yrs,revolving_utilization,total_accounts,inquiries_6months,public_records,loan_status
51,46995.74,MORTGAGE,4,HOMEIMPROVEMENT,E,24574,23.9,0.52,Y,23,0.16,1,0.13,2,1,0,1
23,166658.06,MORTGAGE,11,HOMEIMPROVEMENT,F,9427,22.53,0.06,N,3,0.42,0,0.24,7,1,0,0
58,63462.57,MORTGAGE,32,EDUCATION,C,5637,18.95,0.09,Y,26,0.42,1,0.28,7,0,0,0
43,57661.68,RENT,15,VENTURE,D,12637,11.91,0.22,Y,13,0.12,1,0.11,6,0,0,0
46,196972.3,RENT,33,HOMEIMPROVEMENT,C,27329,5.79,0.14,Y,3,0.22,1,0.47,16,0,0,0
46,133060.12,RENT,13,MEDICAL,G,6126,21.89,0.05,Y,13,0.26,1,0.15,24,0,0,0
45,34864.56,RENT,16,VENTURE,B,7168,20.78,0.21,N,28,0.27,0,0.37,18,0,0,0
26,91114.64,MORTGAGE,36,HOMEIMPROVEMENT,F,28285,12.31,0.31,N,6,0.37,0,0.37,25,1,0,0
26,57360.91,RENT,25,VENTURE,A,27386,19.72,0.48,N,11,0.28,0,0.34,5,0,0,0
64,22641.29,RENT,1,PERSONAL,G,35387,18.63,1.56,Y,9,0.57,1,0.02,29,1,0,1
31,131935.32,RENT,36,MEDICAL,E,24325,8.73,0.18,N,16,0.33,0,0.35,19,1,0,0
53,39270.45,RENT,24,EDUCATION,F,12246,6.33,0.31,N,5,0.41,0,0.01,11,0,0,0
49,62381.71,MORTGAGE,37,HOMEIMPROVEMENT,C,45028,19.88,0.72,N,9,0.33,0,0.44,7,0,0,0
25,209576.6,RENT,28,HOMEIMPROVEMENT,B,36659,5.24,0.17,N,27,0.31,0,0.46,11,0,0,0
33,28266.08,MORTGAGE,39,PERSONAL,G,18368,19.52,0.65,N,22,0.59,0,0.37,20,3,0,1
29,77806.19,RENT,8,HOMEIMPROVEMENT,B,40224,11.67,0.52,N,21,0.56,0,0.38,3,1,0,0
26,27864.75,RENT,23,MEDICAL,F,38148,9.4,1.37,N,24,0.35,0,0.33,23,0,1,1
39,64514.37,OWN,31,HOMEIMPROVEMENT,E,28952,14.44,0.45,N,20,0.14,0,0.81,7,1,0,0
54,94922.62,RENT,32,EDUCATION,G,41411,18.18,0.44,N,4,0.54,0,0.22,23,0,0,1
52,74643.9,MORTGAGE,23,MEDICAL,D,48917,23.89,0.66,N,3,0.19,0,0.09,2,0,0,0
21,144689.23,RENT,4,EDUCATION,C,38609,16.81,0.27,N,28,0.49,0,0.05,13,0,1,1
43,36754.28,OWN,31,PERSONAL,F,36954,19.83,1.01,N,7,0.24,0,0.11,27,0,0,0
54,36710.34,OWN,16,HOMEIMPROVEMENT,B,13875,7.8,0.38,N,3,0.31,0,0.52,22,0,0,0
63,18308.84,RENT,0,MEDICAL,B,12555,6.36,0.69,Y,12,0.12,1,0.26,24,2,0,1
37,28012.61,MORTGAGE,33,HOMEIMPROVEMENT,A,41385,6.5,1.48,N,18,0.58,0,0.56,4,0,0,1
37,44478.79,MORTGAGE,9,DEBTCONSOLIDATION,C,21491,19.64,0.48,Y,8,0.12,1,0.34,16,1,0,0
34,220353.58,MORTGAGE,14,MEDICAL,B,5232,13.44,0.02,Y,9,0.16,1,0.32,15,0,0,0
46,47128.15,RENT,22,PERSONAL,D,29535,20.81,0.63,N,4,0.1,0,0.37,24,0,1,1
59,33084.91,MORTGAGE,28,VENTURE,A,9436,16.62,0.29,N,6,0.28,0,0.16,2,0,0,0
45,35402.72,MORTGAGE,0,PERSONAL,G,48054,12.69,1.36,N,15,0.52,0,0.44,14,2,0,1
30,46543.74,RENT,33,PERSONAL,B,18320,20.59,0.39,N,3,0.37,0,0.55,4,0,0,0
31,146963.4,RENT,2,PERSONAL,C,33284,24.11,0.23,Y,17,0.12,1,0.2,16,0,0,0
33,61049.41,RENT,27,EDUCATION,E,46648,14.61,0.76,N,14,0.22,0,0.13,14,1,0,0
63,52348.68,MORTGAGE,24,MEDICAL,F,21670,8.78,0.41,Y,18,0.24,2,0.15,3,1,0,1
60,61280.58,RENT,30,HOMEIMPROVEMENT,C,38311,7.57,0.63,N,18,0.44,0,0.29,16,1,0,0
32,48906.57,MORTGAGE,21,PERSONAL,F,10077,17.42,0.21,N,4,0.23,0,0.38,7,0,0,0
33,58453.41,MORTGAGE,38,HOMEIMPROVEMENT,C,36612,9.42,0.63,N,28,0.55,0,0.31,13,0,0,0
21,129910.98,RENT,37,MEDICAL,A,2980,18.03,0.02,N,13,0.33,0,0.17,18,0,0,0
44,60575.98,RENT,2,PERSONAL,F,1526,7.35,0.03,N,9,0.5,0,0.09,23,0,0,0
41,23277.2,MORTGAGE,17,DEBTCONSOLIDATION,G,30009,17.0,1.29,N,29,0.39,0,0.34,23,1,0,1
40,49434.74,MORTGAGE,32,EDUCATION,D,23431,6.45,0.47,N,4,0.18,0,0.13,27,1,0,0
26,40164.04,MORTGAGE,8,PERSONAL,B,27015,23.7,0.67,Y,11,0.33,1,0.23,17,0,0,0
34,178305.48,MORTGAGE,10,VENTURE,E,8179,14.59,0.05,N,11,0.46,0,0.45,22,1,0,0
55,63577.55,OWN,28,PERSONAL,G,47286,14.25,0.74,Y,3,0.36,1,0.11,21,0,0,0
56,62212.3,MORTGAGE,1,DEBTCONSOLIDATION,G,12171,10.54,0.2,N,6,0.42,0,0.35,9,0,0,0
25,18725.85,OWN,37,DEBTCONSOLIDATION,D,36133,13.1,1.93,N,14,0.26,0,0.43,26,1,0,0
43,71200.27,RENT,30,DEBTCONSOLIDATION,F,45738,11.62,0.64,N,6,0.12,0,0.12,13,1,0,0
64,110332.13,MORTGAGE,27,VENTURE,C,19309,7.24,0.18,N,13,0.14,0,0.34,24,0,0,0
62,38281.36,MORTGAGE,19,MEDICAL,C,2239,5.35,0.06,N,24,0.25,0,0.24,24,1,0,0
28,82630.49,RENT,20,HOMEIMPROVEMENT,F,43759,22.36,0.53,N,26,0.53,0,0.34,19,0,0,1
24,68838.28,MORTGAGE,32,DEBTCONSOLIDATION,E,14598,18.34,0.21,N,5,0.49,0,0.15,2,0,0,1
54,75114.37,RENT,37,MEDICAL,F,27213,23.03,0.36,Y,26,0.3,1,0.15,22,0,0,0
53,130128.92,RENT,31,DEBTCONSOLIDATION,B,23443,16.74,0.18,N,3,0.11,0,0.38,9,0,0,0
57,27822.55,MORTGAGE,14,MEDICAL,G,44790,21.26,1.61,N,22,0.2,0,0.35,16,0,0,1
47,34371.43,MORTGAGE,28,EDUCATION,D,32010,19.35,0.93,N,23,0.19,0,0.12,8,0,0,0
27,89152.57,RENT,0,EDUCATION,G,43668,24.03,0.49,N,28,0.55,0,0.27,11,0,0,1
57,127367.42,RENT,3,VENTURE,G,37451,18.35,0.29,N,8,0.19,0,0.07,4,1,0,0
52,41356.16,RENT,10,HOMEIMPROVEMENT,E,28213,6.17,0.68,N,8,0.51,0,0.57,8,1,0,0
56,100999.17,MORTGAGE,39,MEDICAL,A,8843,11.47,0.09,N,13,0.24,0,0.19,6,0,0,0
23,92529.99,MORTGAGE,21,DEBTCONSOLIDATION,A,20201,24.91,0.22,N,18,0.15,0,0.63,16,0,0,0
36,51359.74,MORTGAGE,11,DEBTCONSOLIDATION,E,11754,7.4,0.23,Y,3,0.16,1,0.32,21,1,0,0
34,80113.37,RENT,35,HOMEIMPROVEMENT,B,23641,12.62,0.3,N,6,0.56,0,0.47,27,0,0,0
62,59827.74,MORTGAGE,11,DEBTCONSOLIDATION,B,13329,17.56,0.22,N,21,0.19,0,0.5,15,0,0,0
38,115443.24,MORTGAGE,9,HOMEIMPROVEMENT,F,9984,11.27,0.09,N,29,0.11,0,0.13,14,0,0,0
33,61512.41,MORTGAGE,30,DEBTCONSOLIDATION,E,36262,5.35,0.59,N,10,0.13,0,0.19,26,0,1,1
48,48753.6,MORTGAGE,6,PERSONAL,D,24291,17.66,0.5,N,8,0.54,0,0.21,7,0,0,1
47,53509.65,OWN,27,HOMEIMPROVEMENT,E,32174,20.39,0.6,N,22,0.26,0,0.5,11,1,0,0
38,102548.55,MORTGAGE,36,PERSONAL,C,1163,10.32,0.01,N,7,0.34,0,0.06,3,0,0,0
62,26721.38,MORTGAGE,20,PERSONAL,A,31911,23.86,1.19,Y,25,0.42,1,0.33,29,1,0,1
39,65133.72,MORTGAGE,4,HOMEIMPROVEMENT,E,23614,5.76,0.36,Y,29,0.27,1,0.24,9,0,0,0
63,106820.74,MORTGAGE,4,EDUCATION,F,11759,6.65,0.11,N,27,0.41,0,0.27,16,0,0,0
30,110449.48,RENT,20,EDUCATION,F,6978,14.72,0.06,Y,23,0.32,1,0.1,19,0,0,0
50,34489.0,RENT,19,MEDICAL,F,28935,5.25,0.84,Y,12,0.46,1,0.42,22,1,0,1
42,107660.38,MORTGAGE,21,VENTURE,E,44541,19.56,0.41,N,8,0.35,0,0.16,24,2,0,1
64,24825.3,MORTGAGE,24,EDUCATION,B,30806,5.19,1.24,N,5,0.44,0,0.32,11,1,0,1
42,19798.99,MORTGAGE,25,PERSONAL,F,36851,9.05,1.86,Y,27,0.42,1,0.17,6,0,0,1
57,83773.64,OWN,37,HOMEIMPROVEMENT,B,3023,17.39,0.04,N,20,0.13,0,0.08,17,0,0,0
51,50542.52,OWN,18,MEDICAL,F,6997,18.91,0.14,Y,26,0.13,1,0.4,24,1,0,0
53,84891.14,MORTGAGE,16,MEDICAL,G,31447,13.2,0.37,Y,28,0.39,1,0.38,19,0,0,0
39,86460.83,OWN,34,HOMEIMPROVEMENT,E,17370,14.23,0.2,N,21,0.21,0,0.38,8,3,0,0
44,36327.98,MORTGAGE,24,VENTURE,B,16261,10.64,0.45,N,12,0.23,0,0.34,23,0,0,0
40,55015.74,MORTGAGE,17,HOMEIMPROVEMENT,D,39328,11.3,0.71,Y,27,0.23,1,0.49,17,1,0,1
57,31979.66,RENT,23,HOMEIMPROVEMENT,D,23360,11.99,0.73,N,8,0.21,0,0.25,24,0,1,1
42,19109.22,MORTGAGE,16,EDUCATION,A,13485,13.57,0.71,N,20,0.36,0,0.09,20,1,0,0
52,119066.59,MORTGAGE,6,VENTURE,F,10369,20.08,0.09,N,4,0.38,0,0.41,10,0,0,0
28,63413.66,RENT,32,DEBTCONSOLIDATION,G,19658,18.14,0.31,Y,7,0.42,1,0.45,5,0,0,0
32,101893.91,RENT,1,HOMEIMPROVEMENT,C,7530,22.94,0.07,N,2,0.58,0,0.6,29,1,0,0
41,105999.81,MORTGAGE,29,VENTURE,F,2283,24.6,0.02,N,19,0.19,0,0.41,21,1,0,0
26,69709.82,MORTGAGE,18,EDUCATION,G,31090,18.03,0.45,N,16,0.22,0,0.44,17,1,0,0
38,37752.04,MORTGAGE,10,DEBTCONSOLIDATION,A,12439,21.83,0.33,N,2,0.44,0,0.26,3,0,0,0
28,36196.57,RENT,22,VENTURE,B,10794,15.25,0.3,N,15,0.43,0,0.59,8,1,0,0
58,33882.91,MORTGAGE,13,DEBTCONSOLIDATION,C,10031,13.26,0.3,Y,29,0.48,1,0.28,23,1,0,0
39,46010.38,RENT,13,HOMEIMPROVEMENT,D,35228,6.93,0.77,N,23,0.4,0,0.29,4,0,0,0
61,89071.23,RENT,15,DEBTCONSOLIDATION,D,32600,16.66,0.37,Y,23,0.11,2,0.12,5,1,1,1
32,67543.31,MORTGAGE,14,VENTURE,E,27649,8.41,0.41,Y,24,0.43,1,0.25,5,0,0,0
61,78884.71,RENT,0,DEBTCONSOLIDATION,F,21389,10.09,0.27,N,21,0.41,0,0.18,2,0,0,0
33,28999.39,MORTGAGE,37,MEDICAL,D,18543,7.16,0.64,N,8,0.41,0,0.2,10,0,0,0
61,40214.67,OWN,38,DEBTCONSOLIDATION,C,16114,14.01,0.4,Y,14,0.58,1,0.57,14,1,0,0
43,64433.99,MORTGAGE,19,VENTURE,F,5033,21.01,0.08,N,3,0.57,0,0.38,13,0,0,1
31,106782.38,RENT,12,MEDICAL,F,13497,7.31,0.13,N,2,0.11,0,0.46,4,0,0,0
35,43356.65,MORTGAGE,25,PERSONAL,G,38437,11.86,0.89,N,4,0.53,0,0.37,4,0,0,0
23,75545.5,MORTGAGE,27,MEDICAL,B,4134,12.4,0.05,N,12,0.27,0,0.68,8,0,0,0
51,120311.79,OWN,26,DEBTCONSOLIDATION,E,12120,15.62,0.1,Y,7,0.15,1,0.13,25,1,0,0
35,28984.41,RENT,29,HOMEIMPROVEMENT,E,3169,24.12,0.11,N,14,0.59,0,0.22,14,1,0,1
42,24274.88,OWN,22,EDUCATION,E,47633,8.89,1.96,N,5,0.6,0,0.14,20,0,0,1
37,50063.35,MORTGAGE,34,DEBTCONSOLIDATION,A,35919,20.85,0.72,N,13,0.55,0,0.14,23,0,1,1
41,145010.05,MORTGAGE,10,PERSONAL,D,8684,14.34,0.06,N,12,0.2,0,0.14,24,0,0,0
37,119040.5,OWN,13,MEDICAL,G,22083,20.29,0.19,N,19,0.59,0,0.46,7,0,0,0
52,38902.89,MORTGAGE,21,MEDICAL,F,22162,15.54,0.57,N,16,0.14,0,0.38,26,2,1,1
57,29150.23,MORTGAGE,12,VENTURE,A,9068,20.32,0.31,Y,14,0.42,1,0.35,7,0,0,0
39,83786.76,RENT,37,PERSONAL,G,16271,21.84,0.19,N,18,0.18,0,0.11,29,1,0,0
61,68866.24,MORTGAGE,29,MEDICAL,E,35324,13.32,0.51,Y,25,0.22,1,0.33,23,0,0,1
35,79199.44,MORTGAGE,21,HOMEIMPROVEMENT,C,19691,20.51,0.25,N,19,0.15,0,0.05,12,0,0,0
52,44010.59,MORTGAGE,21,EDUCATION,A,28990,11.81,0.66,Y,2,0.29,1,0.41,19,1,0,0
47,161271.72,MORTGAGE,24,HOMEIMPROVEMENT,E,7318,22.51,0.05,N,17,0.42,0,0.2,10,0,0,0
59,47805.95,MORTGAGE,27,EDUCATION,F,2378,20.42,0.05,N,14,0.34,0,0.2,3,0,0,0
43,71866.3,RENT,33,VENTURE,B,26351,19.74,0.37,Y,22,0.16,1,0.11,12,0,0,0
30,63545.36,RENT,12,EDUCATION,F,19199,19.19,0.3,Y,18,0.48,1,0.09,12,1,0,0
60,50804.11,MORTGAGE,27,DEBTCONSOLIDATION,E,4866,6.53,0.1,N,16,0.29,0,0.14,26,1,0,0
29,61417.12,MORTGAGE,31,PERSONAL,E,46280,12.96,0.75,N,12,0.22,0,0.44,27,0,1,1
35,74346.24,RENT,31,PERSONAL,C,17616,19.51,0.24,N,25,0.23,0,0.17,5,0,0,0
51,53189.47,RENT,25,PERSONAL,C,6939,5.89,0.13,N,14,0.5,0,0.52,15,0,0,0
51,23219.87,MORTGAGE,29,HOMEIMPROVEMENT,D,39405,22.95,1.7,N,23,0.32,0,0.02,5,4,0,1
38,64765.43,RENT,25,MEDICAL,E,1619,23.16,0.02,Y,13,0.58,2,0.39,2,0,0,1
29,73764.42,RENT,36,VENTURE,D,19020,9.57,0.26,N,8,0.3,0,0.25,28,0,0,0
23,28804.79,RENT,19,MEDICAL,C,43589,24.02,1.51,N,2,0.55,0,0.52,28,0,0,1
37,86946.13,MORTGAGE,21,PERSONAL,E,35540,13.63,0.41,N,5,0.57,0,0.02,14,0,0,1
43,94923.36,OWN,19,HOMEIMPROVEMENT,A,36948,10.91,0.39,N,3,0.51,0,0.31,4,0,0,0
49,96651.19,RENT,23,MEDICAL,B,20459,22.52,0.21,N,21,0.36,0,0.35,10,0,0,0
23,35896.76,MORTGAGE,21,VENTURE,F,13251,19.63,0.37,N,18,0.29,0,0.54,6,1,0,0
36,25335.17,MORTGAGE,30,MEDICAL,B,48135,20.61,1.9,N,16,0.45,0,0.56,22,0,0,1
52,54693.32,OWN,38,EDUCATION,G,20456,22.01,0.37,N,16,0.57,0,0.25,18,1,0,0
56,57674.02,RENT,31,EDUCATION,A,8619,5.5,0.15,Y,9,0.31,1,0.09,26,0,0,0
33,22602.74,MORTGAGE,34,MEDICAL,B,5986,21.18,0.26,N,22,0.39,0,0.05,9,0,0,0
31,43482.67,RENT,4,DEBTCONSOLIDATION,A,2424,13.61,0.06,Y,23,0.29,1,0.27,23,0,0,0
27,76948.48,RENT,14,MEDICAL,F,23742,17.02,0.31,Y,28,0.47,1,0.28,27,0,0,0
32,140190.93,RENT,6,EDUCATION,A,46833,19.8,0.33,N,21,0.25,0,0.48,28,0,1,0
55,39880.23,RENT,1,DEBTCONSOLIDATION,C,20233,12.47,0.51,N,23,0.57,0,0.61,28,0,0,0
56,68761.32,RENT,33,PERSONAL,A,42243,12.71,0.61,Y,26,0.32,1,0.25,7,0,0,0
48,49773.43,MORTGAGE,14,PERSONAL,C,3426,5.18,0.07,N,15,0.56,0,0.36,9,1,0,0
25,53046.56,RENT,33,EDUCATION,C,9252,9.31,0.17,N,24,0.49,0,0.03,20,0,0,0
47,17252.61,RENT,7,PERSONAL,A,17873,9.12,1.04,Y,12,0.42,1,0.12,7,0,0,0
33,92023.01,MORTGAGE,3,HOMEIMPROVEMENT,C,42094,14.82,0.46,Y,20,0.49,1,0.11,7,0,0,1
55,78686.89,RENT,3,VENTURE,D,33963,13.87,0.43,N,11,0.58,0,0.5,14,0,0,0
59,30282.15,MORTGAGE,15,PERSONAL,F,40740,16.07,1.35,N,24,0.11,0,0.35,24,0,0,0
33,23906.67,MORTGAGE,31,HOMEIMPROVEMENT,B,6520,15.64,0.27,Y,29,0.15,1,0.03,20,0,0,0
31,27900.23,RENT,13,DEBTCONSOLIDATION,G,4630,9.68,0.17,N,20,0.45,0,0.24,2,0,0,0
33,31301.32,MORTGAGE,0,HOMEIMPROVEMENT,A,13207,14.91,0.42,Y,16,0.31,1,0.23,4,0,0,0
49,40843.54,MORTGAGE,31,PERSONAL,F,10359,19.47,0.25,N,16,0.36,0,0.28,20,0,0,0
23,109936.78,RENT,10,PERSONAL,B,38405,23.04,0.35,N,4,0.59,0,0.7,26,1,0,0
34,44995.28,RENT,39,VENTURE,C,28197,12.39,0.63,N,27,0.15,0,0.37,18,0,0,0
57,148719.86,MORTGAGE,38,PERSONAL,C,12763,18.42,0.09,N,11,0.54,0,0.13,27,2,0,0
32,104293.55,MORTGAGE,12,MEDICAL,A,17999,9.83,0.17,N,18,0.32,0,0.41,18,0,0,0
58,58083.35,MORTGAGE,2,HOMEIMPROVEMENT,A,28869,15.57,0.5,Y,29,0.14,1,0.56,22,2,0,0
28,122684.03,OWN,0,HOMEIMPROVEMENT,E,2093,22.77,0.02,Y,12,0.6,1,0.28,25,0,0,1
53,70128.04,RENT,37,VENTURE,C,28923,23.67,0.41,Y,29,0.28,1,0.28,14,0,0,0
55,122477.59,RENT,21,EDUCATION,A,44469,20.25,0.36,N,3,0.13,0,0.23,22,0,0,0
30,89281.01,RENT,24,MEDICAL,F,19642,12.43,0.22,N,24,0.13,0,0.09,23,1,0,0
38,46496.24,MORTGAGE,22,HOMEIMPROVEMENT,G,26515,18.82,0.57,N,15,0.12,0,0.07,5,0,0,0
34,183164.85,MORTGAGE,19,MEDICAL,C,13192,14.07,0.07,N,9,0.24,0,0.33,14,0,0,0
64,87784.32,MORTGAGE,39,HOMEIMPROVEMENT,B,15995,6.69,0.18,N,6,0.54,0,0.09,17,0,0,0
62,51073.2,MORTGAGE,16,PERSONAL,G,40542,21.95,0.79,N,21,0.14,0,0.2,11,1,0,0
58,42090.01,RENT,23,HOMEIMPROVEMENT,D,46619,24.46,1.11,Y,14,0.51,1,0.07,9,0,0,1
52,31258.7,RENT,35,VENTURE,G,12349,20.54,0.4,N,18,0.41,0,0.26,11,0,0,0
21,24633.85,RENT,30,EDUCATION,E,38688,13.37,1.57,N,9,0.16,0,0.21,16,0,0,1
40,71604.93,RENT,25,PERSONAL,G,15031,16.19,0.21,N,26,0.16,0,0.13,8,0,0,0
46,31966.58,MORTGAGE,13,PERSONAL,E,23523,18.23,0.74,N,26,0.4,0,0.08,14,0,0,1
26,165630.78,RENT,13,MEDICAL,C,28529,11.75,0.17,N,21,0.13,0,0.38,23,1,0,0
53,43536.12,RENT,0,EDUCATION,B,49400,23.97,1.13,Y,18,0.31,1,0.29,29,1,0,1
49,71672.93,OWN,29,HOMEIMPROVEMENT,F,30866,9.09,0.43,N,21,0.38,0,0.22,22,0,0,0
36,82835.7,RENT,8,HOMEIMPROVEMENT,F,18888,23.3,0.23,N,22,0.22,0,0.29,20,1,0,0
26,86805.89,RENT,21,HOMEIMPROVEMENT,C,25484,15.49,0.29,Y,6,0.41,1,0.24,18,1,0,0
46,70662.54,MORTGAGE,35,EDUCATION,A,1307,19.12,0.02,N,13,0.37,0,0.48,28,1,1,0
24,47371.83,RENT,37,VENTURE,G,44919,8.01,0.95,Y,4,0.25,1,0.12,27,1,0,0
54,37255.01,MORTGAGE,22,VENTURE,G,40763,10.9,1.09,N,2,0.16,0,0.35,22,0,0,0
35,71263.86,RENT,24,EDUCATION,E,26464,12.1,0.37,N,19,0.55,0,0.16,4,0,0,0
28,83479.56,MORTGAGE,10,EDUCATION,E,35820,6.51,0.43,N,13,0.37,0,0.45,3,1,0,0
28,69320.37,MORTGAGE,27,EDUCATION,E,42574,9.8,0.61,N,22,0.28,0,0.32,6,1,0,0
55,52750.83,RENT,15,PERSONAL,A,21142,16.15,0.4,N,28,0.51,0,0.23,15,0,0,0
55,41887.5,MORTGAGE,5,PERSONAL,B,1406,5.65,0.03,N,12,0.36,0,0.35,18,2,0,0
55,62200.55,RENT,18,EDUCATION,D,10890,21.29,0.18,N,16,0.24,0,0.28,14,0,0,0
36,32824.33,MORTGAGE,27,HOMEIMPROVEMENT,B,14699,8.36,0.45,Y,26,0.29,1,0.11,14,1,0,0
58,46584.08,RENT,17,HOMEIMPROVEMENT,G,17244,19.63,0.37,Y,27,0.22,1,0.15,5,1,0,0
40,22571.63,RENT,5,MEDICAL,B,37730,5.13,1.67,Y,14,0.41,2,0.19,23,0,0,0
53,136590.2,RENT,17,PERSONAL,G,32976,6.31,0.24,Y,10,0.15,1,0.41,11,1,0,0
31,44819.56,MORTGAGE,10,HOMEIMPROVEMENT,G,41149,7.71,0.92,N,28,0.53,0,0.24,12,0,0,1
64,54654.72,RENT,11,DEBTCONSOLIDATION,B,31595,6.24,0.58,N,18,0.18,0,0.32,9,0,0,0
25,82275.68,RENT,25,DEBTCONSOLIDATION,E,3843,17.53,0.05,N,14,0.38,0,0.12,6,1,0,0
47,116345.61,RENT,28,VENTURE,B,5933,13.17,0.05,N,21,0.27,0,0.32,14,0,1,0
59,51212.65,MORTGAGE,18,PERSONAL,D,49243,18.46,0.96,Y,8,0.18,1,0.45,13,0,1,1
41,111350.68,RENT,30,EDUCATION,C,1287,13.22,0.01,N,22,0.16,0,0.11,22,0,0,0
62,37191.73,RENT,6,VENTURE,D,33535,6.22,0.9,N,11,0.47,0,0.25,11,1,0,1
42,87615.3,MORTGAGE,19,PERSONAL,B,30978,8.67,0.35,N,28,0.19,0,0.06,8,1,0,0
22,107306.44,MORTGAGE,28,VENTURE,D,28236,16.28,0.26,N,5,0.46,0,0.32,27,0,0,0
56,93019.23,RENT,24,VENTURE,D,28564,23.92,0.31,N,13,0.12,0,0.48,9,0,0,0
34,107206.92,RENT,6,VENTURE,A,16886,21.63,0.16,Y,15,0.38,1,0.06,16,1,0,0
60,60622.95,MORTGAGE,12,HOMEIMPROVEMENT,A,44298,16.06,0.73,Y,21,0.13,1,0.26,12,2,0,0
21,113378.01,OWN,16,HOMEIMPROVEMENT,C,8493,12.29,0.07,N,14,0.41,0,0.3,8,1,0,0
48,105066.41,RENT,21,VENTURE,B,21423,15.47,0.2,N,15,0.37,0,0.29,17,0,0,0
31,57692.17,MORTGAGE,37,DEBTCONSOLIDATION,F,43431,16.97,0.75,N,26,0.33,0,0.24,16,0,0,0
32,99245.42,RENT,36,PERSONAL,E,34367,20.33,0.35,N,14,0.38,0,0.5,15,0,0,0
46,66770.23,RENT,24,PERSONAL,D,47546,8.32,0.71,N,24,0.13,0,0.11,28,1,0,0
37,132038.59,RENT,17,EDUCATION,A,30001,17.04,0.23,N,5,0.45,0,0.25,3,0,0,0
