transaction_id,amount,hour,day_of_week,is_weekend,card_age_days,credit_limit,available_credit,transactions_last_24h,transactions_last_week,avg_transaction_amount,distance_from_home,distance_from_last_transaction,is_online,is_international,pin_entered,chip_used,is_fraud,merchant_gas,merchant_online,merchant_other,merchant_restaurant,merchant_retail,merchant_travel
CC000022,2053.57,14,3,0,3110,100000,33042.89,3,9,60.76,1.59,3.6,1,0,1,1,0,False,False,True,False,False,False
CC000023,829.0,18,4,0,2953,100000,43593.25,1,9,288.77,13.51,7.29,1,0,0,1,0,False,False,False,False,True,False
CC000024,10.04,0,5,1,1170,100000,35831.26,3,7,30.94,0.78,0.91,1,0,1,1,0,False,False,False,False,True,False
CC000025,384.76,20,1,0,1401,500000,314520.64,2,12,137.78,11.54,0.89,0,1,1,1,0,False,False,True,False,False,False
CC000026,72.54,4,6,1,1045,50000,18895.91,3,9,156.92,8.42,0.33,0,0,0,1,0,False,False,False,False,True,False
CC000027,59.98,4,4,0,2754,100000,32028.21,1,11,162.5,4.43,0.6,0,0,1,1,0,False,True,False,False,False,False
CC000028,17.7,22,6,1,1282,50000,24425.55,6,5,1493.51,7.93,3.0,0,0,1,1,0,False,False,False,True,False,False
CC000029,40.93,16,3,0,1905,500000,481655.49,2,11,1.27,8.79,2.56,0,0,1,1,0,False,False,False,True,False,False
CC000030,7.6,18,2,0,1058,100000,77712.77,1,6,70.53,2.31,2.26,0,0,0,1,0,False,False,True,False,False,False
CC000031,2826.86,10,6,1,77,50000,49896.2,1,7,478.71,0.64,0.8,1,0,1,1,0,True,False,False,False,False,False
CC000032,42.27,2,2,0,3116,500000,392302.71,1,8,7.9,3.97,0.64,0,0,1,1,0,False,False,False,False,True,False
CC000033,15.67,21,1,0,652,500000,265385.83,2,15,32.56,4.01,13.57,0,0,0,0,0,False,False,False,False,False,True
CC000034,16.7,23,6,1,1190,200000,191738.32,0,15,9.06,24.94,0.03,0,0,1,1,0,False,False,True,False,False,False
CC000035,1393.01,18,4,0,3401,50000,42518.25,2,7,3.37,8.7,0.84,0,0,1,1,0,False,False,False,True,False,False
CC000036,2963.17,1,4,0,1221,100000,92970.55,1,5,649.36,9.32,7.91,1,0,1,1,0,False,False,False,False,True,False
CC000037,37.4,21,3,0,1885,50000,44409.1,2,12,122.33,4.98,8.48,1,0,1,1,0,False,False,True,False,False,False
CC000038,1.32,14,6,1,2027,50000,13741.12,1,16,147.73,4.08,0.75,0,0,1,1,0,False,False,False,False,False,True
CC000039,411.49,22,0,0,1307,500000,272044.13,4,14,228.25,1.62,1.3,1,0,1,1,0,False,False,False,True,False,False
CC000040,229.57,19,2,0,3355,100000,72598.06,1,8,347.72,24.29,0.75,1,0,1,1,0,False,True,False,False,False,False
CC000041,177.78,23,4,0,1893,200000,175593.75,3,9,36.0,8.95,2.55,1,0,1,1,0,False,False,False,False,True,False
CC000042,35.87,10,5,1,415,200000,144487.49,2,9,7.99,1.94,3.45,0,0,1,1,0,False,False,True,False,False,False
CC000043,14.73,16,6,1,878,500000,316404.4,3,8,4.29,16.08,2.15,0,0,1,1,0,False,False,True,False,False,False
CC000044,877.58,16,1,0,3323,100000,38771.5,0,8,0.61,13.99,1.59,1,0,0,0,0,True,False,False,False,False,False
CC000045,694.44,0,0,0,2836,200000,163028.03,1,6,19.57,2.79,6.41,1,0,1,1,0,False,False,True,False,False,False
CC000046,178.79,6,1,0,804,50000,41684.55,0,7,20.82,5.47,11.16,0,0,1,1,0,False,False,False,False,False,True
CC000047,3.23,5,5,1,934,100000,31114.56,3,10,1010.01,13.54,6.0,0,0,1,1,0,False,False,False,False,True,False
CC000048,4.15,22,4,0,104,100000,26856.1,0,11,38.52,8.08,5.27,1,0,0,1,0,False,True,False,False,False,False
CC000049,8.73,1,3,0,1802,50000,30229.05,4,7,23.63,24.71,6.39,1,0,1,0,0,True,False,False,False,False,False
CC000050,1.63,14,3,0,3568,200000,65355.25,2,11,27.5,4.22,2.17,0,0,1,1,0,False,False,False,False,True,False
CC000051,158.41,11,2,0,3579,100000,52781.55,1,15,29.62,2.05,3.9,1,0,1,1,0,True,False,False,False,False,False
CC000052,22.03,11,6,1,518,50000,23203.3,0,10,85.58,3.75,0.64,0,0,1,1,0,False,False,False,False,True,False
CC000053,0.24,6,0,0,3627,200000,141648.44,3,9,244.89,7.73,5.42,1,0,1,1,0,False,False,False,False,False,True
CC000054,227.42,2,2,0,3140,100000,71943.05,3,13,35.54,5.47,6.69,0,0,0,1,0,False,False,True,False,False,False
CC000055,1377.38,15,0,0,3026,100000,96391.95,0,9,77.06,40.36,10.78,1,1,1,0,0,True,False,False,False,False,False
CC000056,531.84,21,4,0,3344,50000,45186.45,0,9,20.14,31.53,8.75,0,1,1,1,0,False,False,False,False,False,True
CC000057,17.44,16,2,0,189,200000,164089.51,1,11,13.21,21.96,15.58,0,0,1,1,0,False,False,False,True,False,False
CC000058,7.92,5,2,0,1229,100000,57391.8,1,11,9.21,7.85,9.99,1,0,1,1,0,False,False,False,False,True,False
CC000059,228.15,10,4,0,3446,50000,22794.37,2,6,11.77,17.04,8.92,0,0,0,1,0,False,False,False,False,False,True
CC000060,7.52,1,3,0,477,500000,172528.23,0,8,41.75,5.66,9.17,1,1,0,1,0,False,False,False,True,False,False
CC000061,80.49,16,3,0,947,50000,26713.18,2,6,27.21,14.71,5.75,0,0,1,0,0,False,True,False,False,False,False
CC000062,65.23,10,3,0,1853,100000,38174.18,1,9,190.35,3.87,6.44,0,0,1,1,0,False,True,False,False,False,False
CC000063,510.09,7,3,0,2507,50000,15255.07,5,11,7.06,1.34,5.78,0,0,0,1,0,False,False,False,True,False,False
CC000064,324.24,7,2,0,1117,50000,44016.77,2,11,2.52,30.5,11.92,0,0,0,1,0,True,False,False,False,False,False
CC000065,5.38,21,3,0,2750,100000,37935.62,1,10,4.15,37.93,1.12,1,0,0,0,0,False,True,False,False,False,False
CC000066,896.69,5,0,0,2851,50000,47921.15,5,13,132.55,22.52,3.97,1,0,0,0,0,False,True,False,False,False,False
CC000067,21.75,11,6,1,3625,50000,30828.84,2,9,4.63,7.82,3.4,0,0,0,0,0,False,False,False,True,False,False
CC000068,32.63,20,6,1,2007,50000,16150.19,4,10,2.71,0.3,2.52,1,1,1,1,0,False,False,False,True,False,False
CC000069,78.14,11,2,0,3338,100000,49475.18,1,6,31.87,2.84,10.23,0,0,1,0,0,False,False,True,False,False,False
CC000070,115.42,1,2,0,1282,50000,36992.4,1,19,29.07,2.69,0.38,0,0,1,0,0,False,False,True,False,False,False
CC000071,4.39,11,0,0,2390,500000,356299.7,2,10,16.42,19.97,4.08,0,0,0,1,0,True,False,False,False,False,False
CC000072,42.02,20,2,0,2914,50000,29710.61,0,18,7.01,30.33,5.1,0,0,1,1,0,False,False,False,False,True,False
CC000073,65.6,12,3,0,1389,100000,83851.72,2,12,24.88,11.8,9.1,0,0,0,1,0,False,True,False,False,False,False
CC000074,115.21,7,0,0,843,500000,229394.65,2,11,70.85,10.72,37.21,0,0,1,1,0,False,False,True,False,False,False
CC000075,19.78,10,3,0,3482,100000,73837.35,5,6,4.87,11.89,2.46,0,0,1,0,0,False,False,False,False,True,False
CC000076,5.07,13,1,0,991,100000,59964.38,5,6,52.88,2.82,3.24,1,0,1,1,0,True,False,False,False,False,False
CC000077,119.6,10,2,0,353,50000,30832.67,1,11,72.5,7.6,4.35,1,0,0,1,0,False,True,False,False,False,False
CC000078,41.74,11,1,0,1092,50000,42616.59,2,15,26.08,0.91,8.46,0,0,1,1,0,False,False,False,True,False,False
CC000079,59.22,8,1,0,550,200000,102243.04,3,7,110.43,5.51,5.51,1,0,1,0,0,False,True,False,False,False,False
CC000080,149.25,0,6,1,2738,50000,42862.16,1,7,19.28,2.97,5.0,0,1,0,1,0,False,False,False,False,True,False
CC000081,1.19,6,0,0,2536,200000,145425.6,4,8,2.87,4.57,2.1,0,0,1,0,0,False,False,False,True,False,False
CC000082,3.7,7,1,0,96,100000,81533.66,1,3,113.98,4.51,27.0,0,0,0,1,0,False,False,True,False,False,False
CC000083,218.94,22,1,0,2523,100000,63970.33,4,7,36.95,18.45,3.68,0,0,1,1,0,False,False,True,False,False,False
CC000084,4.59,13,3,0,510,200000,157901.99,1,16,34.37,3.65,2.53,1,0,1,1,0,False,True,False,False,False,False
CC000085,44.8,2,5,1,3317,100000,30555.46,3,9,6.99,37.14,5.12,0,0,1,1,0,False,False,False,False,True,False
CC000086,19.44,2,0,0,2979,50000,23347.72,0,10,133.98,2.65,0.42,1,0,1,1,0,False,False,False,True,False,False
CC000087,40.93,5,4,0,72,100000,51795.75,2,7,387.31,9.66,1.76,0,0,1,1,0,True,False,False,False,False,False
CC000088,163.54,0,3,0,1825,200000,163376.86,1,6,8.3,18.84,6.44,1,0,0,1,0,False,False,False,False,False,True
CC000089,28.98,4,4,0,2675,50000,49558.75,2,7,38.99,2.42,0.06,1,0,0,0,0,False,True,False,False,False,False
CC000090,3.4,10,6,1,1970,500000,393592.29,1,14,10.56,10.55,8.32,0,0,1,1,0,False,False,False,False,False,True
CC000091,5.8,15,4,0,1150,100000,25574.49,3,9,57.38,5.99,10.7,1,0,1,0,0,False,False,False,False,False,True
CC000092,87.7,12,2,0,437,200000,198062.64,3,8,16.74,10.83,1.02,0,0,1,0,0,True,False,False,False,False,False
CC000093,40.88,15,3,0,3438,200000,74802.41,3,7,140.23,3.89,0.67,1,0,1,1,0,True,False,False,False,False,False
CC000094,160.23,10,1,0,812,50000,12876.65,1,9,165.47,9.49,14.33,1,0,1,0,0,False,False,True,False,False,False
CC000095,26.57,11,0,0,3020,100000,49114.34,3,7,178.97,3.14,3.88,0,0,1,1,0,False,False,False,False,False,True
CC000096,58.03,23,3,0,490,100000,56621.02,2,11,3.53,20.66,5.06,0,0,0,1,0,False,False,False,False,False,True
CC000097,9.96,9,1,0,3592,50000,27796.6,2,9,27.08,14.31,0.18,0,0,1,1,0,False,False,False,False,True,False
CC000098,194.12,5,2,0,1154,100000,70535.24,4,9,67.55,0.03,4.83,0,0,1,1,0,False,False,False,True,False,False
CC000099,64.21,4,1,0,1108,500000,275735.96,3,13,176.59,12.3,7.77,0,0,1,1,0,True,False,False,False,False,False
CC000100,46.28,14,2,0,1049,100000,48594.78,3,9,27.59,4.84,4.24,0,0,1,0,0,False,False,False,False,False,True
CC000101,1.59,12,2,0,2834,200000,158512.52,3,13,6.25,0.84,6.51,1,0,0,0,0,False,True,False,False,False,False
CC000102,21.57,19,0,0,577,50000,47241.68,0,8,19.71,2.84,11.84,0,0,1,1,0,False,True,False,False,False,False
CC000103,12.25,23,2,0,2673,100000,27485.0,1,9,47.97,8.21,13.81,1,0,1,1,0,False,True,False,False,False,False
CC000104,10.22,16,2,0,400,50000,12118.56,2,12,82.78,0.93,5.76,0,0,1,1,0,False,False,False,False,True,False
CC000105,26.2,16,1,0,995,100000,63335.95,1,12,470.97,7.88,0.32,1,0,0,1,0,False,False,True,False,False,False
CC000106,15.0,19,1,0,2460,500000,197299.4,1,14,9.99,6.0,21.0,0,0,0,1,0,False,True,False,False,False,False
CC000107,2.63,2,5,1,2756,500000,319321.27,1,9,222.73,3.24,1.87,0,1,1,0,0,False,False,False,False,True,False
CC000108,389.61,6,2,0,2954,200000,56450.19,1,11,88.64,4.52,6.6,0,0,1,1,0,True,False,False,False,False,False
CC000109,18.45,22,0,0,604,50000,10635.59,2,14,196.58,12.71,11.05,0,1,1,1,0,False,False,True,False,False,False
CC000110,94.96,8,4,0,1279,100000,33740.06,1,5,99.31,1.53,2.14,1,0,1,1,0,False,True,False,False,False,False
CC000111,632.87,14,2,0,960,50000,44949.41,3,8,40.03,3.64,1.2,1,0,1,1,0,True,False,False,False,False,False
CC000112,214.18,12,6,1,2287,200000,54848.8,2,9,13.58,19.99,3.96,0,0,1,0,0,True,False,False,False,False,False
CC000113,47.71,5,6,1,691,500000,216924.67,7,10,3.64,1.28,0.35,0,0,1,1,0,False,False,False,False,True,False
CC000114,2.2,13,5,1,70,500000,474203.49,3,10,106.58,3.36,2.8,1,0,1,0,0,True,False,False,False,False,False
CC000115,559.49,0,4,0,2074,50000,13614.93,5,8,71.29,22.3,2.93,1,0,1,1,0,False,False,False,False,False,True
CC000116,7.92,21,3,0,608,100000,78985.95,1,9,34.65,0.03,0.2,0,0,0,1,0,False,False,True,False,False,False
CC000117,0.87,7,5,1,1344,500000,387726.71,1,7,20.83,16.22,4.24,0,0,0,1,0,False,False,True,False,False,False
CC000118,298.7,20,2,0,212,50000,48813.27,1,6,13.97,13.09,10.7,1,0,1,1,0,False,False,False,False,False,True
CC000119,15.97,17,1,0,1377,100000,35971.61,1,11,24.34,3.87,6.93,1,0,1,1,0,False,True,False,False,False,False
CC000120,82.55,2,3,0,2531,200000,81443.0,5,9,103.38,5.1,12.05,0,0,1,1,0,False,False,True,False,False,False
CC000121,296.25,17,3,0,2688,50000,38984.75,2,9,2.11,9.19,6.11,0,0,0,1,0,False,False,False,False,True,False
CC000122,40.09,9,3,0,943,500000,497315.84,3,14,63.17,18.43,4.34,0,0,0,1,0,False,False,True,False,False,False
CC000123,21.09,10,4,0,1208,100000,97523.54,1,10,28.78,21.93,4.62,0,0,1,0,0,False,False,False,True,False,False
CC000124,10570.78,12,5,1,850,200000,65832.13,3,10,2.21,2.68,8.88,0,0,0,1,0,False,False,False,True,False,False
CC000125,5815.76,18,4,0,2350,200000,59149.64,3,9,1748.5,2.58,16.63,0,0,1,0,0,False,False,False,False,False,True
CC000126,104.96,4,0,0,1237,500000,313287.17,0,10,381.27,14.05,3.39,0,0,1,1,0,False,True,False,False,False,False
CC000127,79.43,18,1,0,3566,200000,56887.59,2,11,42.29,0.61,0.02,1,0,0,1,0,False,False,False,False,True,False
CC000128,178.95,13,4,0,2364,200000,196941.42,4,8,0.4,16.32,1.63,1,0,1,1,0,False,False,True,False,False,False
CC000129,302.85,6,2,0,1118,500000,166342.16,1,11,56.1,0.93,3.34,0,0,0,1,0,False,False,True,False,False,False
CC000130,3710.38,12,4,0,2045,100000,99512.9,0,14,107.44,1.2,9.23,1,0,0,1,0,False,False,False,True,False,False
CC000131,11.86,6,2,0,2981,200000,51323.51,2,10,37.28,9.25,2.21,1,0,1,1,0,False,False,False,False,True,False
CC000132,736.18,21,3,0,689,500000,289488.62,1,8,25.04,8.28,0.64,1,0,1,1,0,True,False,False,False,False,False
CC000133,8.21,10,0,0,1769,50000,37296.53,0,10,138.75,0.65,9.14,0,1,0,1,0,False,False,False,False,True,False
CC000134,38.9,8,2,0,1727,500000,271276.33,4,12,41.45,0.43,4.16,1,0,0,0,0,False,False,False,True,False,False
CC000135,646.95,0,3,0,552,50000,22955.67,2,5,144.69,6.46,0.59,1,0,1,0,0,False,False,True,False,False,False
CC000136,0.72,1,0,0,358,100000,62217.46,2,11,246.64,1.47,5.27,1,1,0,1,0,False,True,False,False,False,False
CC000137,7.5,20,3,0,264,200000,93301.33,3,12,43.15,0.32,6.66,0,0,0,1,0,False,False,True,False,False,False
CC000138,57.11,5,0,0,148,500000,393098.95,1,14,75.24,0.79,2.41,0,0,0,1,0,False,False,False,False,True,False
CC000139,1209.59,19,0,0,2089,500000,272763.0,4,8,52.88,9.25,3.21,0,0,1,1,0,False,False,False,True,False,False
CC000140,159.84,21,0,0,1582,200000,83899.65,4,15,35.78,10.3,8.3,0,0,1,0,0,False,False,False,True,False,False
CC000141,506.69,17,4,0,1873,50000,32093.06,0,18,33.3,11.38,0.4,1,0,1,0,0,False,False,True,False,False,False
CC000142,5312.91,5,4,0,2597,500000,140930.13,1,9,3.21,1.15,5.06,1,0,1,1,0,False,False,False,True,False,False
CC000143,2.15,18,6,1,2388,100000,50212.54,3,16,62.73,14.16,0.88,1,0,1,1,0,False,False,True,False,False,False
CC000144,86.86,21,4,0,115,500000,495158.75,0,9,5.45,2.6,5.03,0,0,1,0,0,False,True,False,False,False,False
CC000145,47.83,2,3,0,1706,50000,45259.9,1,9,48.0,30.14,4.3,1,1,1,1,0,False,False,True,False,False,False
CC000146,519.26,0,1,0,183,50000,11025.11,0,6,21.97,2.55,2.82,0,0,1,1,0,True,False,False,False,False,False
CC000147,5.92,22,6,1,2231,500000,339623.3,4,7,17.37,10.11,2.27,1,0,1,1,0,False,True,False,False,False,False
CC000148,20.97,1,4,0,3637,500000,238139.73,1,10,139.29,5.54,0.19,0,0,1,0,0,False,False,True,False,False,False
CC000149,10.09,7,6,1,1668,100000,99192.75,2,7,111.93,5.38,7.12,0,0,1,1,0,False,True,False,False,False,False
CC000150,21.75,14,5,1,3629,500000,195006.85,1,9,6.03,14.02,0.1,1,0,1,0,0,False,True,False,False,False,False
CC000151,2.7,19,6,1,182,200000,78559.15,0,10,82.28,17.57,5.97,1,0,0,1,0,True,False,False,False,False,False
CC000152,36.24,8,4,0,2150,50000,41464.27,1,12,29.91,7.97,1.87,0,0,1,1,0,False,True,False,False,False,False
CC000153,135.58,3,2,0,3002,200000,87009.09,2,8,62.23,16.54,5.65,0,0,1,1,0,False,False,False,True,False,False
CC000154,214.25,2,1,0,3092,200000,99521.06,1,7,4.27,4.95,1.06,1,0,1,1,0,False,False,False,True,False,False
CC000155,1.8,18,5,1,2274,200000,190946.3,4,7,17.81,3.26,1.62,1,0,1,1,0,False,True,False,False,False,False
CC000156,68.46,8,4,0,3183,100000,53425.34,1,10,8.09,9.96,3.99,1,0,0,0,0,False,False,True,False,False,False
CC000157,79.15,21,3,0,3209,200000,100216.2,2,18,197.33,9.42,1.88,0,0,0,0,0,False,False,False,True,False,False
CC000158,4067.02,21,2,0,589,50000,41894.69,3,7,7.64,31.6,2.55,1,0,0,1,0,False,False,False,False,False,True
CC000159,53.12,17,2,0,1809,200000,186511.79,4,10,7.87,10.61,8.53,0,0,0,1,0,False,False,False,True,False,False
CC000160,1652.47,0,2,0,1581,100000,70223.97,2,10,21.09,15.45,2.53,1,0,1,0,0,False,False,True,False,False,False
CC000161,35.92,5,2,0,324,50000,15392.27,2,13,54.34,17.94,3.46,1,1,0,1,0,False,True,False,False,False,False
CC000162,20.94,12,3,0,3315,500000,336946.86,1,7,2.32,12.48,0.06,0,0,0,0,0,False,False,False,False,True,False
CC000163,6.84,6,2,0,2698,200000,90378.51,0,8,38.45,7.67,2.21,1,0,1,1,0,False,True,False,False,False,False
CC000164,42.48,9,0,0,3463,100000,24710.33,1,9,54.15,6.99,1.08,1,0,1,1,0,False,False,True,False,False,False
CC000165,50.67,8,4,0,3340,50000,33556.26,3,10,58.06,4.23,2.67,1,0,1,1,0,False,True,False,False,False,False
CC000166,32.8,10,5,1,2324,200000,137434.74,1,10,19.96,5.6,3.89,0,0,0,1,0,False,True,False,False,False,False
CC000167,870.39,15,6,1,234,500000,257744.84,0,8,7.44,4.97,11.3,0,0,0,1,0,False,True,False,False,False,False
CC000168,49.83,14,4,0,2056,500000,214143.49,6,6,10.51,7.58,3.57,1,0,1,0,0,True,False,False,False,False,False
CC000169,21.88,18,1,0,2611,100000,68847.6,2,11,200.36,5.68,29.36,0,0,0,1,0,True,False,False,False,False,False
CC000170,1202.53,3,2,0,1937,200000,94923.28,1,7,111.8,6.62,0.03,0,0,0,1,0,False,False,False,True,False,False
CC000171,0.66,15,4,0,1883,200000,91604.25,1,7,353.21,4.26,2.48,1,0,1,1,0,False,True,False,False,False,False
CC000172,79.94,21,5,1,3015,500000,310431.51,2,8,135.91,2.42,2.77,1,0,1,1,0,False,False,False,True,False,False
CC000173,6.27,22,1,0,3419,500000,327565.25,4,10,2.35,10.63,8.68,1,0,1,1,0,False,True,False,False,False,False
CC000174,8.18,7,0,0,2652,100000,97305.89,2,15,284.89,23.12,27.81,0,0,1,1,0,False,False,True,False,False,False
CC000175,438.65,2,4,0,2936,200000,108614.03,1,14,7.05,1.42,3.58,0,0,1,1,0,False,True,False,False,False,False
CC000176,72.95,18,2,0,3551,100000,88925.16,3,9,34.32,10.03,3.17,1,0,1,1,0,False,False,False,False,False,True
CC000177,69.9,10,4,0,2991,200000,91594.94,2,10,150.99,3.22,0.85,0,0,0,1,0,False,False,False,True,False,False
CC000178,195.34,17,3,0,463,500000,490013.51,1,9,29.95,24.1,5.09,0,0,1,1,0,False,True,False,False,False,False
CC000179,252.28,7,3,0,1989,200000,191681.7,0,9,133.94,21.45,5.38,1,0,1,1,0,False,False,False,False,False,True
CC000180,16.34,16,6,1,3324,200000,100961.35,2,8,12.75,5.04,5.53,1,0,1,0,0,False,True,False,False,False,False
CC000181,13.33,19,1,0,3459,500000,459608.76,1,19,122.95,3.95,1.78,0,0,1,1,0,False,False,True,False,False,False
CC000182,299.51,4,5,1,1319,500000,378550.42,1,9,314.46,3.31,2.26,1,0,1,1,0,False,False,True,False,False,False
CC000183,273.63,22,6,1,3626,50000,19393.59,1,10,101.53,11.62,5.37,1,0,1,1,0,False,False,False,False,True,False
CC000184,20.43,12,4,0,878,50000,42980.33,3,7,55.56,4.65,5.42,0,0,0,1,0,False,False,True,False,False,False
CC000185,32.83,15,5,1,2685,50000,26935.44,3,8,2.06,44.67,0.13,0,0,1,1,0,False,False,True,False,False,False
CC000186,811.31,16,3,0,2577,50000,40717.77,2,8,400.28,29.66,14.47,0,1,1,1,0,True,False,False,False,False,False
CC000187,136.37,1,5,1,751,200000,104494.29,4,8,104.83,7.13,3.48,0,0,1,1,0,False,False,False,True,False,False
CC000188,200.03,15,0,0,1836,500000,210160.69,0,11,103.14,1.91,2.39,0,0,0,1,0,False,True,False,False,False,False
CC000189,5.83,20,6,1,1621,100000,70729.14,2,5,2.69,4.04,1.74,1,0,1,0,0,True,False,False,False,False,False
CC000190,313.26,4,2,0,3345,500000,359834.7,3,10,3.53,5.72,7.91,0,0,1,1,0,False,False,False,True,False,False
CC000191,21.48,11,1,0,2977,100000,95055.32,0,6,37.63,2.83,3.18,1,0,0,0,0,False,True,False,False,False,False
CC000192,14.91,15,0,0,300,200000,166008.44,2,15,19.69,11.75,1.58,1,1,1,1,0,False,False,False,False,True,False
CC000193,124.18,0,3,0,2371,50000,30287.22,2,6,129.94,4.22,6.6,0,0,1,1,0,False,False,False,True,False,False
CC000194,12.39,9,0,0,3281,50000,46690.64,2,4,399.9,0.97,4.4,0,0,1,0,0,False,False,False,False,False,True
CC000195,3503.55,11,6,1,1655,50000,27281.03,4,19,17.36,0.54,5.89,0,0,0,1,0,False,False,True,False,False,False
CC000196,475.98,16,5,1,707,200000,143868.94,2,7,16.34,6.29,3.29,0,0,0,1,0,False,False,True,False,False,False
CC000197,220.62,20,2,0,1113,100000,45664.07,0,9,25.44,2.87,5.31,1,0,1,0,0,False,True,False,False,False,False
CC000198,7.96,18,6,1,3592,200000,94115.56,0,8,24.29,5.16,8.97,0,0,1,1,0,False,False,False,False,False,True
CC000199,1457.61,13,4,0,2957,200000,136758.51,1,13,5.48,21.15,4.07,0,1,0,1,0,False,False,True,False,False,False
CC000200,0.6,15,2,0,2875,100000,74813.93,0,13,12.25,5.87,11.2,0,1,0,0,0,False,False,False,False,False,True
CC000201,1283.78,9,1,0,1477,100000,58872.36,2,19,9.06,11.12,8.18,0,0,1,1,0,False,False,True,False,False,False
CC000202,38.23,17,0,0,2328,50000,42076.18,0,15,4.28,6.87,12.44,0,0,1,1,0,False,False,False,False,True,False
CC000203,34.83,8,0,0,1387,200000,103608.09,1,20,69.19,26.1,2.72,0,0,0,1,0,False,False,True,False,False,False
CC000204,13.7,14,1,0,105,500000,340926.23,3,8,158.81,4.7,3.99,0,0,1,1,0,False,False,False,True,False,False
CC000205,18.22,4,1,0,749,500000,319976.54,2,7,32.58,5.84,2.04,1,0,0,1,0,False,False,False,True,False,False
CC000206,156.82,19,0,0,867,200000,142228.04,2,12,22.37,10.26,1.5,0,0,0,0,0,False,False,True,False,False,False
CC000207,107.88,14,0,0,177,50000,28176.72,0,10,30.49,7.02,0.62,1,0,1,1,0,False,True,False,False,False,False
CC000208,31.17,1,2,0,1937,100000,65801.08,3,16,2.14,17.33,4.06,1,0,0,1,0,False,False,False,True,False,False
CC000209,50.83,14,3,0,1234,100000,36682.92,2,8,7.32,0.19,3.12,0,0,1,1,0,False,True,False,False,False,False
CC000210,466.74,10,2,0,1606,500000,363472.54,3,7,53.96,9.98,2.78,1,0,1,1,0,False,False,False,True,False,False
CC000211,23.61,4,3,0,3441,50000,49012.63,3,11,58.01,8.7,1.46,0,0,1,1,0,False,False,False,False,False,True
CC000212,33.91,5,3,0,941,50000,23397.76,2,15,35.48,1.09,2.57,0,0,0,1,0,True,False,False,False,False,False
CC000213,77.95,22,4,0,2328,500000,273702.02,1,10,3.18,2.75,0.5,0,0,1,1,0,False,False,False,True,False,False
